"ingredient","빈도(상품수)","성분_유형","ingredient_tag","label_confidence","검수필요"
"1,2-헥산다이올","377","기제","","high",""
"부틸렌글라이콜","375","기제","","high",""
"에틸헥실글리세린","297","기제","","high",""
"글리세린","286","액티브","보습","high",""
"소듐하이알루로네이트","238","액티브","보습","high",""
"나이아신아마이드","228","액티브","미백/피지_모공","high",""
"판테놀","222","액티브","보습/진정","high",""
"토코페롤","216","액티브","항산화","high",""
"아데노신","215","액티브","탄력_주름","high",""
"프로판다이올","213","기제","","high",""
"정제수","197","기제","","high",""
"다이소듐이디티에이","192","기제","","high",""
"펜틸렌글라이콜","192","기제","","high",""
"잔탄검","181","기제","","high",""
"하이드로제네이티드레시틴","180","기제","","high",""
"트로메타민","179","기제","","high",""
"카보머","155","기제","","high",""
"카프릴릴글라이콜","149","기제","","high",""
"다이프로필렌글라이콜","141","기제","","high",""
"카프릴릭/카프릭트라이글리세라이드","139","기제","","high",""
"베타인","126","액티브","보습","high",""
"알란토인","122","액티브","진정","high",""
"아크릴레이트/C10-30알킬아크릴레이트크로스폴리머","116","기제","","high",""
"세라마이드엔피","112","액티브","보습","high",""
"하이드롤라이즈드하이알루로닉애씨드","110","액티브","보습","high",""
"시트릭애씨드","109","기제","","high",""
"하이알루로닉애씨드","93","액티브","보습","high",""
"알지닌","89","액티브","보습","medium",""
"병풀추출물","87","액티브","진정","high",""
"향료","85","향료","","high",""
"스테아릭애씨드","81","기제","","high",""
"메틸프로판다이올","78","기제","","high",""
"스쿠알란","77","액티브","보습","high",""
"세테아릴알코올","75","기제","","high",""
"암모늄아크릴로일다이메틸타우레이트/브이피코폴리머","73","기제","","high",""
"다이메티콘","72","기제","","high",""
"소듐시트레이트","70","기제","","high",""
"베타-글루칸","70","액티브","보습/진정","high",""
"글리세릴스테아레이트","69","기제","","high",""
"마데카소사이드","69","액티브","진정","high",""
"소듐아세틸레이티드하이알루로네이트","66","액티브","보습","high",""
"실리카","66","기제","","medium",""
"소듐하이알루로네이트크로스폴리머","64","액티브","보습","high",""
"하이드록시아세토페논","63","기제","","medium",""
"하이드록시에틸아크릴레이트/소듐아크릴로일다이메틸타우레이트코폴리머","62","기제","","high",""
"다이포타슘글리시리제이트","60","액티브","진정","high",""
"솔비탄아이소스테아레이트","58","기제","","high",""
"글리세릴카프릴레이트","54","기제","","high",""
"콜레스테롤","53","액티브","보습","high",""
"폴리글리세릴-10라우레이트","52","기제","","high",""
"하이드록시프로필트라이모늄하이알루로네이트","52","액티브","보습","medium",""
"폴리메틸실세스퀴옥세인","51","기제","","high",""
"글리세레스-26","50","기제","","medium",""
"트레할로오스","49","액티브","보습","high",""
"리모넨","49","향료","","high",""
"리날룰","49","향료","","high",""
"하이드롤라이즈드소듐하이알루로네이트","48","액티브","보습","high",""
"폴리글리세릴-3메틸글루코오스다이스테아레이트","48","기제","","high",""
"덱스트린","47","기제","","high",""
"아시아티코사이드","46","액티브","진정","high",""
"페녹시에탄올","45","기제","","high",""
"카프릴릴메티콘","45","기제","","high",""
"베헤닐알코올","44","기제","","high",""
"락토바실러스발효물","44","액티브","컨디셔닝_광채","medium",""
"팔미틱애씨드","43","기제","","high",""
"마데카식애씨드","42","액티브","진정","high",""
"솔비탄올리베이트","41","기제","","high",""
"소듐스테아로일글루타메이트","41","기제","","high",""
"아시아틱애씨드","41","액티브","진정","high",""
"디에칠아미노하이드록시벤조일헥실벤조에이트","41","UV필터","자외선차단","high",""
"카퍼트라이펩타이드-1","40","액티브","탄력_주름","high",""
"변성알코올","40","기제","","high",""
"아세틸헥사펩타이드-8","40","액티브","탄력_주름","high",""
"해바라기씨오일","39","액티브","보습","high",""
"글루코오스","39","액티브","보습","medium",""
"소듐파이테이트","39","기제","","high",""
"녹차추출물","36","액티브","진정/항산화","high",""
"세테아릴올리베이트","36","기제","","high",""
"소듐폴리아크릴레이트","36","기제","","high",""
"포타슘하이알루로네이트","36","액티브","보습","high",""
"레시틴","36","기제","","high",""
"다이부틸아디페이트","36","기제","","high",""
"에칠헥실트리아존","36","UV필터","자외선차단","high",""
"토코페릴아세테이트","35","액티브","항산화","high",""
"자일리톨","35","액티브","보습","high",""
"인도멀구슬나무잎추출물","35","액티브","진정","medium",""
"인도멀구슬나무꽃추출물","35","액티브","진정","medium",""
"폴리아크릴레이트크로스폴리머-6","34","기제","","high",""
"트라이에톡시카프릴릴실레인","33","기제","","medium",""
"울금뿌리추출물","33","액티브","진정/항산화","medium",""
"000ppm)","32","미분류","","",""
"글라이신","31","액티브","보습","medium",""
"시트로넬올","31","미분류","","",""
"폴리글리세릴-10스테아레이트","31","기제","","high",""
"메틸트라이메티콘","31","기제","","high",""
"소듐클로라이드","31","기제","","high",""
"데실글루코사이드","30","기제","","high",""
"티타늄디옥사이드","30","UV필터","자외선차단","high",""
"하이드록시에틸셀룰로오스","30","기제","","high",""
"세린","30","액티브","보습","medium",""
"부틸옥틸살리실레이트","30","기제","","medium",""
"만니톨","29","액티브","보습","high",""
"글리세릴아크릴레이트/아크릴릭애씨드코폴리머","29","기제","","medium",""
"옥틸도데칸올","29","기제","","high",""
"글리세릴글루코사이드","29","액티브","보습","medium",""
"팔미토일펜타펩타이드-4","29","미분류","","",""
"트라이에틸헥사노인","28","기제","","high",""
"글루코노락톤","28","액티브","보습","high",""
"참산호말추출물","28","액티브","진정","low","Y"
"아스코빅애씨드","28","액티브","미백/항산화","high",""
"시어버터","27","액티브","보습","high",""
"소듐하이드록사이드","27","미분류","","",""
"징크피씨에이","27","액티브","피지_모공","high",""
"소듐디엔에이","27","액티브","보습","medium",""
"홀리바질잎추출물","27","액티브","진정","medium",""
"팔미토일트라이펩타이드-1","27","미분류","","",""
"프로필렌글라이콜","26","기제","","high",""
"말토덱스트린","26","기제","","medium",""
"폴리솔베이트20","26","기제","","high",""
"소듐폴리아크릴로일다이메틸타우레이트","26","기제","","high",""
"사이아노코발아민","26","미분류","","",""
"비스-에칠헥실옥시페놀메톡시페닐트리아진","26","UV필터","자외선차단","high",""
"하이드록시에틸우레아","25","액티브","보습","medium",""
"솔비톨","25","액티브","보습","high",""
"에리스리톨","25","액티브","보습","high",""
"바이오사카라이드검-1","25","액티브","보습","medium",""
"다이메티콘/비닐다이메티콘크로스폴리머","25","기제","","high",""
"2,3-부탄다이올","25","기제","","medium",""
"약모밀추출물","25","액티브","진정","high",""
"알루미늄하이드록사이드","25","기제","","medium",""
"글루타티온","25","액티브","미백/항산화","high",""
"말라카이트추출물","24","액티브","진정","low","Y"
"폴리글리세릴-10올리에이트","24","미분류","","",""
"C14-22알코올","24","기제","","high",""
"에틸헥실팔미테이트","24","기제","","high",""
"000 ppm)","24","미분류","","",""
"시트랄","23","미분류","","",""
"마카다미아씨오일","23","미분류","","",""
"하이드롤라이즈드콜라겐","23","미분류","","",""
"병풀잎추출물","23","액티브","진정","high",""
"엑토인","23","액티브","보습/진정","high",""
"다이소듐포스페이트","23","기제","","high",""
"폴리아이소부텐","23","미분류","","",""
"제라니올","22","미분류","","",""
"하이드로제네이티드폴리데센","22","기제","","high",""
"올리브오일","22","액티브","보습","high",""
"프룩토올리고사카라이드","22","미분류","","",""
"폴리쿼터늄-51","22","미분류","","",""
"팔미토일테트라펩타이드-7","22","미분류","","",""
"돌콩오일","22","액티브","보습","medium",""
"히스티딘","22","미분류","","",""
"쇠비름추출물","22","액티브","진정","medium",""
"C12-20알킬글루코사이드","21","기제","","high",""
"다이메티콘올","21","기제","","high",""
"폴리글리세린-3","21","미분류","","",""
"하이드로제네이티드폴리아이소부텐","21","기제","","high",""
"세틸에틸헥사노에이트","21","미분류","","",""
"팔미토일트라이펩타이드-5","21","미분류","","",""
"셀룰로오스검","21","기제","","high",""
"아이소도데케인","21","기제","","high",""
"카프릴릴/카프릴글루코사이드","21","미분류","","",""
"글루타믹애씨드","21","미분류","","",""
"폴리C10-30알킬아크릴레이트","21","기제","","high",""
"트라이소듐에틸렌다이아민다이석시네이트","20","기제","","high",""
"솔비탄올리에이트","20","미분류","","",""
"소듐포스페이트","20","미분류","","",""
"카페인","19","미분류","","",""
"효모발효여과물","19","액티브","컨디셔닝_광채","medium",""
"피토스핑고신","19","미분류","","",""
"하이드로제네이티드폴리(C6-14올레핀)","19","미분류","","",""
"아이소프로필미리스테이트","19","미분류","","",""
"피토스테롤","19","액티브","항산화","medium",""
"3-O-에틸아스코빅애씨드","19","액티브","미백/항산화","high",""
"살리실릭애씨드","19","미분류","","",""
"트라이소듐이디티에이","18","기제","","high",""
"사이클로펜타실록세인","18","기제","","high",""
"메도우폼씨오일","18","미분류","","",""
"다이카프릴릴카보네이트","18","기제","","high",""
"비사보롤","18","미분류","","",""
"황금추출물","18","액티브","진정","high",""
"아이비고드열매추출물","18","액티브","항산화","low","Y"
"코코-카프릴레이트/카프레이트","18","기제","","high",""
"벤질글라이콜","18","미분류","","",""
"수크로오스","17","미분류","","",""
"락토바실러스발효용해물","17","미분류","","",""
"사이클로헥사실록세인","17","기제","","high",""
"비닐다이메티콘","17","기제","","high",""
"포타슘세틸포스페이트","17","기제","","medium",""
"소듐아크릴레이트/소듐아크릴로일다이메틸타우레이트코폴리머","17","미분류","","",""
"다이메틸실란올하이알루로네이트","17","액티브","보습","medium",""
"메틸메타크릴레이트크로스폴리머","17","기제","","medium",""
"다이스테아다이모늄헥토라이트","17","기제","","high",""
"소듐벤조에이트","16","미분류","","",""
"펜타에리스리틸테트라에틸헥사노에이트","16","미분류","","",""
"만노오스","16","미분류","","",""
"헥사펩타이드-9","16","미분류","","",""
"라벤더오일","16","미분류","","",""
"피브이엠/엠에이코폴리머","16","미분류","","",""
"호호바씨오일","16","미분류","","",""
"글리세릴스테아레이트시트레이트","16","미분류","","",""
"소듐하이알루로네이트다이메틸실란올","16","액티브","보습","medium",""
"아이리쉬모스추출물","16","미분류","","",""
"베타-카로틴","16","미분류","","",""
"폴리하이드록시스테아릭애씨드","16","기제","","medium",""
"알로에베라잎추출물","15","액티브","진정/보습","high",""
"메틸다이아이소프로필프로피온아마이드","15","미분류","","",""
"C12-15알킬벤조에이트","15","기제","","high",""
"소듐메타포스페이트","15","미분류","","",""
"세라마이드에이피","15","미분류","","",""
"다이글리세린","15","액티브","보습","high",""
"아세틸테트라펩타이드-5","15","미분류","","",""
"적색산화철","15","착색제","","high",""
"알라닌","15","미분류","","",""
"젤란검","15","미분류","","",""
"해수","15","미분류","","",""
"라이신","15","미분류","","",""
"티타늄디옥사이드 (CI 77891)","15","UV필터","자외선차단","high",""
"폴리에터-1","15","기제","","medium",""
"글리세릴폴리메타크릴레이트","14","미분류","","",""
"포타슘하이드록사이드","14","미분류","","",""
"카카오씨추출물","14","미분류","","",""
"황련뿌리추출물","14","미분류","","",""
"마그네슘설페이트","14","기제","","medium",""
"카프릴로일살리실릭애씨드","14","미분류","","",""
"비피다발효용해물","14","미분류","","",""
"트레오닌","14","미분류","","",""
"하이드롤라이즈드글라이코사미노글리칸","14","미분류","","",""
"카카오추출물","14","미분류","","",""
"사탕수수추출물","14","액티브","보습","medium",""
"하이드롤라이즈드엘라스틴","14","미분류","","",""
"암모늄폴리아크릴로일다이메틸타우레이트","14","미분류","","",""
"테레프탈릴리덴디캠퍼설포닉애씨드","14","UV필터","자외선차단","medium",""
"폴리글리세릴-2다이폴리하이드록시스테아레이트","14","기제","","medium",""
"아라키딜글루코사이드","13","기제","","high",""
"우레아","13","미분류","","",""
"페닐트라이메티콘","13","미분류","","",""
"폴리솔베이트60","13","미분류","","",""
"잇꽃꽃추출물","13","미분류","","",""
"치자추출물","13","미분류","","",""
"미리스틱애씨드","13","미분류","","",""
"세라마이드에이에스","13","미분류","","",""
"세라마이드엔에스","13","미분류","","",""
"석시닉애씨드","13","미분류","","",""
"가지열매추출물","13","미분류","","",""
"소듐피씨에이","13","미분류","","",""
"티트리잎오일","13","미분류","","",""
"유비퀴논","13","미분류","","",""
"카르노신","13","미분류","","",""
"류신","13","미분류","","",""
"아스파틱애씨드","13","미분류","","",""
"발린","13","미분류","","",""
"프롤린","13","미분류","","",""
"아이소류신","13","미분류","","",""
"페닐알라닌","13","미분류","","",""
"000ppb)","13","미분류","","",""
"에탄올","13","미분류","","",""
"베르가모트오일","13","미분류","","",""
"당근추출물","13","미분류","","",""
"황색산화철","13","착색제","","high",""
"락토바실러스/콩발효추출물","12","미분류","","",""
"피이지-100스테아레이트","12","미분류","","",""
"폴리아크릴레이트-13","12","미분류","","",""
"자일리틸글루코사이드","12","미분류","","",""
"올레익애씨드","12","미분류","","",""
"라우릭애씨드","12","미분류","","",""
"트라넥사믹애씨드","12","미분류","","",""
"세라마이드이오피","12","미분류","","",""
"스페인감초뿌리추출물","12","미분류","","",""
"노나펩타이드-1","12","미분류","","",""
"아가","12","미분류","","",""
"아이소펜틸다이올","12","미분류","","",""
"소듐락테이트","12","미분류","","",""
"로즈마리잎오일","12","미분류","","",""
"이눌린라우릴카바메이트","12","미분류","","",""
"폴리글리세릴-3다이스테아레이트","12","미분류","","",""
"사과추출물","12","미분류","","",""
"시스테인","12","미분류","","",""
"메티오닌","12","미분류","","",""
"타이로신","12","미분류","","",""
"메틸글루세스-20","12","미분류","","",""
"콜라겐추출물","12","미분류","","",""
"다이메틸아이소소바이드","12","미분류","","",""
"당느릅나무뿌리추출물","12","미분류","","",""
"포타슘클로라이드","12","미분류","","",""
"t-부틸알코올","12","기제","","medium",""
"디에칠헥실부타미도트리아존","12","UV필터","자외선차단","high",""
"알루미나","12","미분류","","",""
"트라이실록세인","11","미분류","","",""
"비에이치티","11","미분류","","",""
"포타슘솔베이트","11","미분류","","",""
"글라이코실트레할로오스","11","미분류","","",""
"하이드로제네이티드스타치하이드롤리세이트","11","미분류","","",""
"피이지-40하이드로제네이티드캐스터오일","11","미분류","","",""
"안하이드로자일리톨","11","미분류","","",""
"아라키딕애씨드","11","미분류","","",""
"다발방패버섯추출물","11","미분류","","",""
"트라이펩타이드-1","11","미분류","","",""
"알진","11","미분류","","",""
"다이에톡시에틸석시네이트","11","미분류","","",""
"알부틴","11","미분류","","",""
"커피콩추출물","11","미분류","","",""
"옥틸도데세스-16","11","미분류","","",""
"백미꽃추출물","11","미분류","","",""
"접시꽃추출물","11","미분류","","",""
"폴리글리세릴-10미리스테이트","11","미분류","","",""
"칡뿌리추출물","11","미분류","","",""
"메칠렌비스-벤조트리아졸릴테트라메칠부틸페놀","11","UV필터","자외선차단","high",""
"징크옥사이드","11","UV필터","자외선차단","high",""
"에칠헥실살리실레이트","11","UV필터","자외선차단","high",""
"프로필헵틸카프릴레이트","11","기제","","high",""
"폴리실리콘-15","11","UV필터","자외선차단","high",""
"아세틸옥타펩타이드-3","11","미분류","","",""
"비스-피이지-18메틸에터다이메틸실레인","10","미분류","","",""
"스테아릴알코올","10","미분류","","",""
"불가리스쑥오일","10","미분류","","",""
"아라키딜알코올","10","미분류","","",""
"세틸알코올","10","미분류","","",""
"스핑고모나스발효추출물","10","미분류","","",""
"녹차수","10","미분류","","",""
"소듐아스코빌포스페이트","10","미분류","","",""
"페룰릭애씨드","10","미분류","","",""
"알로에베라꽃추출물","10","미분류","","",""
"아세틸테트라펩타이드-9","10","미분류","","",""
"참마뿌리추출물","10","미분류","","",""
"미리스토일/팔미토일옥소스테아라마이드/아라카마이드엠이에이","10","미분류","","",""
"바쿠치올","10","미분류","","",""
"바이오틴","10","미분류","","",""
"아이소노닐아이소노나노에이트","10","미분류","","",""
"티트리추출물","10","미분류","","",""
"티트리잎추출물","10","미분류","","",""
"돌콩추출물","10","미분류","","",""
"아스코빌글루코사이드","10","미분류","","",""
"칼슘클로라이드","10","미분류","","",""
"유채스테롤","10","미분류","","",""
"아세틸글루코사민","10","미분류","","",""
"유칼립투스잎추출물","10","미분류","","",""
"라반딘오일","10","미분류","","",""
"센티드제라늄꽃오일","10","미분류","","",""
"포타슘포스페이트","10","미분류","","",""
"프로폴리스추출물","10","미분류","","",""
"폴리글리세릴-3폴리다이메틸실록시에틸다이메티콘","10","기제","","medium",""
"다이아이소프로필세바케이트","10","기제","","high",""
"무화과추출물","10","미분류","","",""
"사카라이드아이소머레이트","9","미분류","","",""
"흰버드나무껍질추출물","9","미분류","","",""
"솔비탄스테아레이트","9","미분류","","",""
"칸디다 봄비콜라/글루코오스/메틸레이프씨데이트발효물","9","미분류","","",""
"에톡시다이글라이콜","9","미분류","","",""
"스핑고리피드","9","미분류","","",""
"글리세릴스테아레이트에스이","9","미분류","","",""
"세테아릴글루코사이드","9","미분류","","",""
"다시마추출물","9","미분류","","",""
"옥수수전분","9","미분류","","",""
"티트리잎수","9","미분류","","",""
"프룩탄","9","미분류","","",""
"소나무잎추출물","9","미분류","","",""
"프룩토오스","9","미분류","","",""
"아세틸테트라펩타이드-3","9","미분류","","",""
"하이드록시프로필사이클로덱스트린","9","미분류","","",""
"하이드롤라이즈드식물성단백질","9","미분류","","",""
"피피지-13-데실테트라데세스-24","9","미분류","","",""
"달맞이꽃꽃추출물","9","미분류","","",""
"헥실렌글라이콜","8","미분류","","",""
"아크릴레이트/암모늄메타크릴레이트코폴리머","8","미분류","","",""
"아스코빅애씨드폴리펩타이드","8","미분류","","",""
"징크글루코네이트","8","미분류","","",""
"락토바실러스","8","미분류","","",""
"폴리글리세릴-4아이소스테아레이트","8","미분류","","",""
"호호바에스터","8","미분류","","",""
"아이소헥사데칸","8","미분류","","",""
"폴리솔베이트80","8","미분류","","",""
"마트리카리아꽃추출물","8","미분류","","",""
"쿼세틴","8","미분류","","",""
"C12-13알케스-9","8","미분류","","",""
"이눌린","8","미분류","","",""
"소듐카보머","8","미분류","","",""
"알파-알부틴","8","미분류","","",""
"폴리글리세릴-4카프레이트","8","미분류","","",""
"마이카","8","미분류","","",""
"헥실신남알","8","미분류","","",""
"아세틸글루타민","8","미분류","","",""
"라이소레시틴","8","미분류","","",""
"소듐아크릴릭애씨드/엠에이코폴리머","8","미분류","","",""
"풀루란","8","미분류","","",""
"드로메트리졸트리실록산","8","미분류","","",""
"브이피/에이코신코폴리머","8","미분류","","",""
"개똥쑥추출물","8","미분류","","",""
