"goods_no","product_name","brand_name","ml_표시용량","ml_추정총용량","용량_단위","price_regular","price_sale","price_per_10ml","ingredient"
"A000000192782","[1+1/1등 모공 수분천재크림] 에스네이처 아쿠아 스쿠알란 수분크림 60ml 더블기획","에스네이처","60.0","120.0","ml","43000","23500","1958.3","정제수, 스쿠알란(150,000ppm), 글리세린, 1,2-헥산다이올, 베타인, 판테놀, 소듐하이알루로네이트, 하이드롤라이즈드콜라겐, 하이드록시프로필트라이모늄하이알루로네이트, 하이드롤라이즈드하이알루로닉애씨드, 소듐아세틸레이티드하이알루로네이트, 아세틸헥사펩타이드-8, 아데노신, 하이알루로닉애씨드, 하이드롤라이즈드소듐하이알루로네이트, 소듐하이알루로네이트크로스폴리머, 포타슘하이알루로네이트, 아크릴레이트/C10-30알킬아크릴레이트크로스폴리머, 알지닌, 알란토인, 자일리틸글루코사이드, 안하이드로자일리톨, 자일리톨, 글루코오스, 부틸렌글라이콜, 암모늄아크릴로일다이메틸타우레이트/브이피코폴리머, 카프릴릴글라이콜"
"A000000239660","피지오겔 DMT 페이셜 보습 장벽 크림 150ml 기획(+토너 50ml)","피지오겔","150.0","200.0","ml","47500","23900","1195.0","[피지오겔 DMT 페이셜 크림]
정제수, 카프릴릭/카프릭트라이글리세라이드, 글리세린, 펜틸렌글라이콜, 코코넛야자오일, 하이드로제네이티드레시틴, 시어버터, 하이드록시에틸셀룰로오스, 스쿠알란, 카보머, 잔탄검, 소듐카보머, 세라마이드엔피
[피지오겔 DMT 에센스 인 토너]
정제수, 다이프로필렌글라이콜, 글리세린, 1,2-헥산다이올, 헥실데실에틸헥사노에이트, 펜타에리스리틸테트라에틸헥사노에이트, 변성알코올, 베타인, 사이클로펜타실록세인, 아크릴레이트/C10-30알킬아크릴레이트크로스폴리머, 트로메타민, 다이메티콘, 피토스테롤, 소듐하이알루로네이트, 트라이소듐이디티에이, 세린, 소듐피씨에이, 하이드록시에틸우레아, 알지닌, 카프릴릭/카프릭트라이글리세라이드, 스쿠알란"
"A000000258830","[7월올영픽/화잘먹크림] 피지오겔 DMT 리제너러티브 크림 100ml 기획(+토너 50ml)","피지오겔","100.0","150.0","ml","31500","21500","1433.3","[피지오겔 DMT 리제너러티브 크림]
정제수, 글리세린, 펜틸렌글라이콜, 카프릴릭/카프릭트라이글리세라이드, 코코-카프릴레이트/카프레이트, 세테아릴알코올, 아라키딜알코올, 스쿠알란, 메틸트라이메티콘, 판테놀, 베헤닐알코올, 시어버터, 피토스테릴/이소스테아릴/세틸/스테아릴/베헤닐다이머디리놀리에이트, 오일팜오일, 하이드록시에틸아크릴레이트/소듐아크릴로일다이메틸타우레이트코폴리머, 아라키딜글루코사이드, 1,2-헥산다이올, 폴리아크릴레이트크로스폴리머-6, 하이드로제네이티드레시틴, 오일팜커넬오일, 베헤닉애씨드, 아이소스테아릴아이소스테아레이트, 카보머, 소듐카보머, 세라마이드엔피, 아데노신, 콜레스테롤, 소듐하이알루로네이트, 솔비탄아이소스테아레이트, 나이아신아마이드, 팔미틱애씨드, 스테아릭애씨드, 토코페롤, 2,3-부탄다이올, 글리세릴스테아레이트, 세라마이드에이피, 세라마이드엔지, 세라마이드이오피, 다이프로필렌글라이콜, 하이알루로닉애씨드

[피지오겔 DMT 에센스 인 토너]
정제수, 다이프로필렌글라이콜, 글리세린, 1,2-헥산다이올, 헥실데실에틸헥사노에이트, 펜타에리스리틸테트라에틸헥사노에이트, 변성알코올, 베타인, 사이클로펜타실록세인, 아크릴레이트/C10-30알킬아크릴레이트크로스폴리머, 트로메타민, 다이메티콘,피토스테롤, 소듐하이알루로네이트, 트라이소듐이디티에이, 세린, 소듐피씨에이, 하이드록시에틸우레아, 알지닌, 카프릴릭/카프릭트라이글리세라이드, 스쿠알란"
"A000000253592","[흔적,기미,미백/TXA] 셀리맥스 트라넥삼산 잡티 크림 35ml 기획 (+14ml)","셀리맥스","35.0","49.0","ml","35000","21900","4469.4","전성분 정제수, 글리세린, 나이아신아마이드, 트라넥사믹애씨드, 카프릴릭/카프릭트라이글리세라이드, 다이프로필렌글라이콜, 1,2-헥산다이올, 퀸즈랜드넛오일, 페닐트라이메티콘, 하이드로제네이티드폴리(C6-14올레핀), 다이카프릴릴에테르, 비닐다이메티콘, 세테아릴알코올, 프로판다이올, 세테아릴올리베이트, 글리세릴스테아레이트에스이, 솔비탄올리베이트, 암모늄아크릴로일다이메틸타우레이트/브이피코폴리머, 베헤닐알코올, 다이메티콘올, 세테아릴글루코사이드, 다시마추출물, 한련초잎추출물, 하이드로제네이티드레시틴, 세라마이드엔피, 베타인, 에틸헥실글리세린, 잔탄검, 비파나무잎추출물, 아데노신, 프룩토올리고사카라이드, 황련뿌리추출물, 콜레스테롤, 부틸렌글라이콜, 베타-글루칸, 스피어민트추출물, 하이드롤라이즈드하이알루로닉애씨드, 카카오씨추출물, 덱스트린, 토코페롤, 아스코빅애씨드폴리펩타이드, 글리세릴스테아레이트, 세라마이드에이에스, 세라마이드에이피, 세라마이드엔에스, 세라마이드이오피"
"A000000198320","[올영 어워즈 1등 크림] 에스트라 아토베리어365 크림 80ml","에스트라","80.0","80.0","ml","33000","29700","3712.5","정제수, 부틸렌글라이콜, 글리세린, 부틸렌글라이콜다이카프릴레이트/다이카프레이트, 세틸에틸헥사노에이트, 스쿠알란, 펜타에리스리틸테트라아이소스테아레이트, 다이카프릴릴카보네이트, 베헤닐알코올, 다이메티콘, 하이드록시프로필비스팔미타마이드엠이에이, 스테아릭애씨드, 베타인, 만니톨, C14-22알코올, 팔미틱애씨드, 하이드록시프로필비스라우라마이드엠이에이, 아라키딜알코올, 콜레스테롤, 폴리아크릴레이트-13, C12-20알킬글루코사이드, 알란토인, 아라키딜글루코사이드, 나이아신아마이드, 세라마이드엔피, 글리세릴카프릴레이트, 에틸헥실글리세린, 하이드로제네이티드폴리아이소부텐, 카보머, 트로메타민, 다이메티콘올, 폴리글리세릴-10라우레이트, 하이드로제네이티드레시틴, 에틸헥실팔미테이트, 아크릴레이트/암모늄메타크릴레이트코폴리머, 솔비탄아이소스테아레이트, 실리카, 피토스핑고신, 스핑고리피드, 아라키딕애씨드, 토코페롤, 올레익애씨드"
"A000000258834","[7월 올영픽] 에스트라 아토베리어365 하이드로 수딩크림 80ml 기획 (+수딩크림 10ml+클렌징폼 30g)","에스트라","80.0","90.0","ml","33000","26400","2933.3","정제수, 글리세린, 부틸렌글라이콜, 다이메티콘, 스쿠알란, 1,2-헥산다이올, 베타인, 세테아릴알코올, 암모늄아크릴로일다이메틸타우레이트/브이피코폴리머, 하이드로제네이티드쌀겨오일, 하이드로제네이티드레시틴, 폴리글리세릴-3메틸글루코오스다이스테아레이트, 폴리아크릴레이트크로스폴리머-6, 만니톨, 세틸-피지하이드록시에틸팔미타마이드, 스테아릭애씨드, 에틸헥실글리세린, 글리세릴카프릴레이트, 프로판다이올, 글리세릴스테아레이트, 소듐메타포스페이트, 세라마이드엔피, 카보머, 팔미틱애씨드, 실리카, 징크클로라이드, 콜레스테롤, 베타-글루칸, 스핑고리피드, 소듐하이알루로네이트, 하이드록시프로필메틸셀룰로오스, 미리스틱애씨드, 프로필렌글라이콜, 라우릭애씨드, 토코페롤"
"A000000206904","[손상장벽집중케어] 라로슈포제 시카플라스트 밤 B5+ 100ml 기획 (+3ml 추가증정)","라로슈포제","5.0","108.0","ml","41000","36900","3416.7","정제수 하이드로제네이티드폴리아이소부텐 다이메티콘 글리세린 시어버터 판테놀 옥수수전분 프로판다이올 부틸렌글라이콜 세틸피이지/피피지-10/1다이메티콘 트라이하이드록시스테아린 병풀잎추출물 야콘뿌리즙 징크글루코네이트 마데카소사이드 망가니즈글루코네이트 알파-글루칸올리고사카라이드 실리카 알루미늄하이드록사이드 마그네슘설페이트 만노오스 카프릴로일글라이신 카프릴릴글라이콜 비트레오스실라발효물 시트릭애씨드 트라이소듐에틸렌다이아민다이석시네이트 락토바실러스 아세틸레이티드글라이콜스테아레이트 말토덱스트린 폴리글리세릴-4아이소스테아레이트 토코페롤 펜타에리스리틸테트라-다이-t-부틸하이드록시하이드로신나메이트 티타늄디옥사이드"
"A000000258831","[7월올영픽/손상장벽리페어] 피지오겔 레드수딩 AI 리페어 크림 100m 기획(+30ml+마스크 2매)","피지오겔","30.0","30.0","ml","39500","27500","9166.7","[피지오겔 레드수딩 AI 리페어 크림]
정제수, 올리브오일, 글리세린, 펜틸렌글라이콜, 오일팜오일, 식물성오일, 하이드로제네이티드레시틴, 스쿠알란, 베타인, 팔미타마이드엠이에이, 아세타마이드엠이에이, 사코신,하이드록시에틸셀룰로오스, 카보머, 소듐카보머, 잔탄검, 토코페롤, 다이소듐포스페이트, 소듐포스페이트

[피지오겔 레드수딩 AI 릴리프 마스크]
정제수, 부틸렌글라이콜, 글리세린, 다이프로필렌글라이콜, 1,2-헥산다이올, 베타인, 메틸프로판다이올, 판테놀, 프로판다이올, 자작나무수액, 팔미타마이드엠이에이, 아세타마이드엠이에이, 사코신, 알란토인, 다이포타슘글리시리제이트, 하이드로제네이티드레시틴, 소듐하이알루로네이트, 베타-글루칸, 스쿠알란, 시어버터, 메도우폼씨오일, 세라마이드엔피, 카프릴릭/카프릭트라이글리세라이드, 아라키딜글루코사이드, 세테아릴알코올, 아라키딜알코올, 베헤닐알코올, 스테아릭애씨드, 팔미틱애씨드, 폴리글리세릴-10스테아레이트, 폴리글리세릴-10올리에이트, 콜레스테롤, 암모늄아크릴로일다이메틸타우레이트/베헤네스-25메타크라일레이트크로스폴리머, 카보머, 잔탄검, 다이소듐이디티에이, 트로메타민"
"A000000257827","[7월 올영픽] 라로슈포제 시카플라스트 멀티 리페어 크림 100ml (+시카에센스 7.5ml)","라로슈포제","100.0","107.5","ml","52000","41600","3869.8","[시카플라스트 멀티 리페어 크림]
정제수 다이카프릴릴에터 판테놀 글리세린 펜틸렌글라이콜 폴리글리세릴-6다이스테아레이트 프로판다이올 세틸에스터 호호바에스터 베헤닐알코올 그린와틀꽃왁스 해바라기씨왁스 병풀잎추출물 야콘뿌리즙 솔비탄올리에이트 징크글루코네이트 마데카소사이드 세테아릴아이소노나노에이트 망가니즈글루코네이트 아이소헥사데칸 알파-글루칸올리고사카라이드 소듐하이알루로네이트 소듐스테아로일글루타메이트 아데노신 만노오스 카퍼글루코네이트 하이드록시아세토페논 하이드록시프로필스타치포스페이트 카프릴로일살리실릭애씨드 비트레오스실라발효물 시트릭애씨드 트라이소듐에틸렌다이아민다이석시네이트 락토바실러스 말토덱스트린 폴리글리세린-3 폴리글리세릴-3비즈왁스 폴리솔베이트80 아크릴아마이드/소듐아크릴로일다이메틸타우레이트코폴리머 세틸알코올 토코페롤

[시카에센스]
정제수 비피다발효용해물 판테놀 다이메티콘 베타인 글리세린 부틸렌글라이콜 펜틸렌글라이콜 아이소프로필미리스테이트 피이지/피피지/폴리부틸렌글라이콜-8/5/3글리세린 소듐하이드록사이드 만노오스 메틸다이하이드로자스모네이트 아크릴레이트/C10-30알킬아크릴레이트크로스폴리머 페녹시에탄올 하이드로제네이티드레시틴 알파-글루칸올리고사카라이드 카프릴릴글라이콜 폴리솔베이트20 마데카소사이드 스핑고모나스발효추출물 시트릭애씨드 야콘뿌리즙 소듐메틸스테아로일타우레이트 아세틸다이펩타이드-1세틸에스터 소듐벤조에이트 말토덱스트린 징크글루코네이트 망가니즈글루코네이트 소듐하이알루로네이트 엑토인 단삼뿌리추출물 살리실로일피토스핑고신 락토바실러스 트라이소듐에틸렌다이아민다이석시네이트 비사보롤"
"A000000247776","[NCT 재민PICK] 이즈앤트리 어니언 뉴페어 겔크림 플러스 50ml 기획 (+겔크림 플러스 20ml, 패드 2매)","이즈앤트리","50.0","70.0","ml","32000","22400","3200.0","[어니언 겔크림 플러스]
정제수, 글리세린, 카프릴릭/카프릭트라이글리세라이드, 나이아신아마이드, 프로판다이올, 1,2-헥산다이올, 하이드록시에틸아크릴레이트/소듐아크릴로일다이메틸타우레이트코폴리머, 양파추출물(10,100 ppm), 부틸렌글라이콜, 세테아릴알코올, 비닐다이메티콘, 카보머, 세테아릴올리베이트, 솔비톨, 솔비탄올리베이트, 바이오사카라이드검-1, 소듐폴리아크릴로일다이메틸타우레이트, 알지닌, 소듐아스코빌포스페이트, 글루타티온, 쿼세틴, 페룰릭애씨드, 알란토인, 판테놀, 소듐하이알루로네이트, 하이드롤라이즈드하이알루로닉애씨드, 하이알루로닉애씨드, 하이드록시프로필트라이모늄하이알루로네이트, 소듐아세틸레이티드하이알루로네이트, 마데카소사이드, 스쿠알란, 약모밀추출물, 사이아노코발아민, 솔비탄아이소스테아레이트, 하이드로제네이티드폴리데센, 에틸헥실글리세린, 시트릭애씨드, 하이드록시에틸셀룰로오스, 덱스트린, 다이소듐이디티에이, 소듐시트레이트, 트라이데세스-10, 치자추출물, 아데노신, 하이드로제네이티드레시틴, 폴리글리세릴-10스테아레이트, 펜틸렌글라이콜, 데실글루코사이드, 알지닌/라이신폴리펩타이드, 카프릴릴글라이콜
[어니언 패드]
정제수, 부틸렌글라이콜, 글리세린, 1, 2-헥산다이올, 나이아신아마이드, 양파추출물(843ppm), 트레할로오스, 약모밀추출물, 판테놀, 알란토인, 소듐헤파린, 소듐하이알루로네이트, 하이드롤라이즈드하이알루로닉애씨드, 소듐아세틸레이티드하이알루로네이트, 인도멀구슬나무꽃추출물, 아이비고드열매추출물, 트라넥사믹애씨드, 소듐아스코빌포스페이트, 글루코노락톤, 베타-글루칸, 하이드록시에틸셀룰로오스, 아데노신, 시트릭애씨드, 에틸헥실글리세린, 폴리솔베이트60, 다이소듐포스페이트, 소듐포스페이트"
