"goods_no","product_name","brand_name","ml_표시용량","ml_추정총용량","용량_단위","price_regular","price_sale","price_per_10ml","ingredient"
"A000000259555","[26년 신형/보습광채] 달바 퍼스트 스프레이 세럼 펩타이드 100ml 더블기획","달바","100.0","200.0","ml","59800","37200","1860.0","정제수, 부틸렌글라이콜, 글리세레스-26, 에톡시다이글라이콜, 나이아신아마이드, 폴리프로필실세스퀴옥세인, 해바라기씨오일, 흰서양송로수, 다이프로필렌글라이콜, 1,2-헥산다이올, 솔비톨, 하이드록시에틸우레아, 아보카도오일, 바질꽃/잎/줄기추출물, 멕시칸치아씨추출물, 다이펩타이드-15, 흰서양송로추출물, 베타인, 귀리커넬추출물, 다이소듐이디티에이, 아데노신, 돌콩오일, 알지닌, 카보머, 다이포타슘글리시리제이트, 하이드롤라이즈드하이알루로닉애씨드, 아나토씨오일, 글리세린, 소듐팔미토일프롤린, 데이지꽃추출물, 프리지아추출물, 약모밀추출물, 에델바이스추출물, 마돈나백합꽃추출물, 뽕나무껍질추출물, 연꽃추출물, 인삼추출물, 스노우로투스추출물, 비피다발효용해물, 포타슘솔베이트, 알바수련꽃추출물, 하이드록시아세토페논, 카프릴릴글라이콜, 토코페릴아세테이트, 토코페롤, 향료, 리날룰, 헥실신남알, 리모넨, 시트로넬올"
"A000000255680","[청담샵화잘먹] 메디큐브 PDRN 핑크 콜라겐 글로우 젤리 미스트 100ml 더블기획(+미스트 공병키링)","메디큐브","100.0","200.0","ml","47800","29700","1485.0","콜라겐수(80.9%), 아이소프로필미리스테이트, 글리세린, 나이아신아마이드, 1,2-헥산다이올, 정제수, 소듐클로라이드, 메도우폼씨오일, 부틸렌글라이콜, 하이드록시아세토페논, 프로판다이올, 젤란검, 소듐디엔에이(1,081ppm), 해바라기씨오일, 에틸헥실글리세린, 아데노신, 트라이에틸시트레이트, 옥수수커넬추출물, 알칸나뿌리추출물, 다이소듐이디티에이, 토코페롤, 하이알루로닉애씨드, 하이드롤라이즈드하이알루로닉애씨드, 소듐하이알루로네이트, 콜라겐(10.8ppm), 프룩탄, 만주자작나무껍질/잎추출물, 피마자씨오일, 글루코오스, 레몬그라스잎오일, 스타아니스열매/씨오일, 스쿠알란, 글루타티온, 하이드롤라이즈드엘라스틴, 연어알추출물, 말토덱스트린, 카프릴릭/카프릭트라이글리세라이드, 하이드로제네이티드레시틴, 세라마이드엔피, 소듐시트레이트, 카프릴릴글라이콜, 소듐포스페이트, 시트릭애씨드, 진주추출물, 사이아노코발아민, 에스에이치-올리고펩타이드-1"
"A000000259067","[미피 네임택 증정/7월 올영픽] 아벤느 오 떼르말 300ml 2입 기획 (+150ml +미피 네임택)","아벤느","300.0","450.0","ml","45000","27900","620.0","아벤느 온천수(아쿠아)"
"A000000189004","[재구매율1위] 바이오힐보 판테셀 리페어시카 크림미스트 [기내용/더블/대용량]","바이오힐보","","","","9000","7000","","정제수, 글리세린, 트라이에틸헥사노인, 하이드로제네이티드폴리(C6-14올레핀), 부틸렌글라이콜, 펜틸렌글라이콜, 메틸프로판다이올, 판테놀(1%), 병풀추출물, 베타-시토스테롤, 병풀잎추출물, 아세틸헥사펩타이드-8, 아스코빅애씨드폴리펩타이드, 아세틸옥타펩타이드-3, 아세틸테트라펩타이드-2, 아세틸테트라펩타이드-3, 아세틸테트라펩타이드-5, 아세틸테트라펩타이드-9, 카르노신, 카퍼트라이펩타이드-1, 노나펩타이드-1, 팔미토일펜타펩타이드-4, 팔미토일트라이펩타이드-1, 팔미토일트라이펩타이드-5, 스트렙토코쿠스 테르모필루스발효물, 아이리쉬모스추출물, 사탕수수추출물, 사과즙, 칸디다 봄비콜라/글루코오스/메틸레이프씨데이트발효물, 해바라기씨오일, 1,2-헥산다이올, 베타인, 트라이라우레스-4포스페이트, 에틸헥실글리세린, 폴리쿼터늄-51, 소듐파이테이트, 시트릭애씨드, 토코페롤, 레시틴, 에스신, 다이프로필렌글라이콜"
"A000000241879","[미백탄력/비타VER] 달바 비타 토닝 안티에이징 스프레이 세럼 8퍼센트 70ml","달바","70.0","70.0","ml","38000","23900","3414.3","전성분명,비타민나무수,흰서양송로수,콜라겐수,다이프로필렌글라이콜,해바라기씨오일,1,2-헥산다이올,글리세레스-26,정제수,나이아신아마이드,폴리프로필실세스퀴옥세인,흰서양송로추출물,카프릴릭/카프릭트라이글리세라이드,하이드록시에틸우레아,부틸렌글라이콜,마카다미아씨오일,올리브오일,베타인,토코페롤,동백나무씨오일,아보카도오일,솔비톨,다이포타슘글리시리제이트,다이소듐이디티에이,펜타에리스리틸테트라-다이-t-부틸하이드록시하이드로신나메이트,아데노신,바위돌꽃뿌리추출물,돌콩오일,비타민나무열매오일,달맞이꽃오일,인도멀구슬나무꽃추출물,소듐팔미토일프롤린,알지닌,카보머,홀리바질잎추출물,인도멀구슬나무잎추출물,덱스트린,카카오추출물,아나토씨오일,하이드롤라이즈드하이알루로닉애씨드,아스코빅애씨드,울금뿌리추출물,글루타티온,글루코오스,만노오스,참산호말추출물,알바수련꽃추출물,소듐하이알루로네이트,하이드롤라이즈드옥수수단백질,하이드롤라이즈드귀리단백질,하이드롤라이즈드완두콩단백질,하이드롤라이즈드쌀겨단백질,하이드롤라이즈드쌀단백질,하이드롤라이즈드참깨단백질,하이드롤라이즈드콩단백질,하이드롤라이즈드밀단백질,하이드록시프로필트라이모늄하이알루로네이트,소듐아세틸레이티드하이알루로네이트,하이알루로닉애씨드,하이드롤라이즈드소듐하이알루로네이트,소듐하이알루로네이트크로스폴리머,포타슘하이알루로네이트,향료,리날룰,헥실신남알,리모넨,시트로넬올"
"A000000247773","[수지 PICK/한정기획] 아누아 피디알엔 히알루론산 수분 캡슐 미스트 100ml 2입 기획","아누아","100.0","200.0","ml","70000","31900","1595.0","정제수, 다이페닐다이메티콘, 다이프로필렌글라이콜, 펜틸렌글라이콜, 1,2-헥산다이올, 스트렙토코쿠스 테르모필루스발효물, 캐스터오일/아이피디아이코폴리머, 자일리틸글루코사이드, 자일리톨, 돌콩추출물, 인도멀구슬나무잎추출물, 소듐하이알루로네이트(100ppm), 인도멀구슬나무꽃추출물, 돌콩오일, 사과즙, 아이비고드열매추출물, 백미꽃추출물, 가지열매추출물, 알로에베라꽃추출물, 호호바씨오일, 울금뿌리추출물, 홀리바질잎추출물, 참산호말추출물, 해바라기씨오일, 접시꽃추출물, 당근추출물, 하이드롤라이즈드하이알루로닉애씨드(0.01ppm), 하이알루로닉애씨드(0.01ppm), 유럽밤나무씨추출물, 사과씨오일, 흑효모발효물, 하이드롤라이즈드콜라겐, 비타민나무오일, 호박가루, 칸디다 봄비콜라/글루코오스/메틸레이프씨데이트발효물, 드럼스틱씨오일, 글리세레스-26, 프로판다이올, 부틸렌글라이콜, 판테놀, 카프릴릭/카프릭트라이글리세라이드, 소듐디엔에이(2,000ppm), 하이드록시에틸우레아, 하이드록시아세토페논, 알란토인, 다이펩타이드-15, 젤란검, 안하이드로자일리톨, 칼슘클로라이드, 카프릴릴글라이콜, 아데노신, 피피지-13-데실테트라데세스-24, 글리세린, 소듐시트레이트, 시트릭애씨드, 토코페롤, 옥탄다이올, 에틸헥실글리세린, 베타-카로틴, 다이포타슘포스페이트, 아세틸글루타민, 아가, 마그네슘설페이트, 다이페닐실록시페닐트라이메티콘, 페닐트라이메티콘, 프로필렌글라이콜다이벤조에이트, 하이드로제네이티드레시틴, 세라마이드엔피, 소듐클로라이드, 카퍼트라이펩타이드-1, 셀룰로오스검, 소듐바이카보네이트, 포타슘클로라이드, 소듐스테아로일글루타메이트, 잔탄검"
"A000000259319","[NEW / 수부지추천] 클레어스 블루 EGF 카밍 미스트 100ml","디어클레어스","100.0","100.0","ml","29900","19900","1990.0","정제수, 카프릴릭/카프릭트라이글리세라이드, 부틸렌글라이콜, 1,2-헥산다이올, 에리스리톨, 자일리톨, 알란토인, 소듐클로라이드, 트레할로오스, 에틸헥실글리세린, 카프릴릴글라이콜, 토코페릴아세테이트, 소듐시트레이트, 구아이아줄렌(300ppm), 시트릭애씨드, 엑토인(100ppm), 마데카소사이드(100ppm), 로즈힙열매오일, 비사보롤, 소듐하이알루로네이트크로스폴리머, 에스에이치-올리고펩타이드-1(5ppm), 에스에이치-폴리펩타이드-1(5ppm), 월귤추출물, 징크피씨에이"
"A000000166510","[보습광채/안개분사]차앤박 프로폴리스 에너지 앰플 미스트 250ml","차앤박","250.0","250.0","ml","27500","12900","516.0","정제수, 프로판다이올, 글리세린, 1,2-헥산다이올, 다이메티콘, 소듐시트레이트, 부틸렌글라이콜, 베타인, 하이드로제네이티드레시틴, 솔비톨, 피이지-60하이드로제네이티드캐스터오일, 솔비탄세스퀴올리에이트, 시트릭애씨드, 센티드제라늄꽃오일, 펜틸렌글라이콜, 다이소듐이디티에이, 프로폴리스추출물(200ppm), 하이알루로닉애씨드, 판테놀, 하이드록시페닐프로파미도벤조익애씨드, 글루코노락톤, 락토바이오닉애씨드, 판토락톤, 아스코빌팔미테이트, 시트로넬올, 제라니올, 리날룰"
"A000000259179","[7월올영픽/토너미스트] 유리아쥬 시카 데일리 마이크로 리페어링 미스트 120ml기획(+미스트 50ml+세럼 1ml)","유리아쥬","120.0","171.0","ml","34000","25700","1502.9","[미스트]
정제수, 메틸프로판다이올, 부틸렌글라이콜, 글리세린, 1,2-헥산다이올, 나이아신아마이드, 에틸헥실글리세린, 쇠비름추출물, 소듐시트레이트, 하이드록시아세토페논, 폴리쿼터늄-51, 시트릭애씨드, 다이소듐이디티에이, 하이드로제네이티드레시틴, 판테놀, 병풀추출물, 무화과추출물, 세라마이드엔피, 락토코쿠스발효용해물, 프룩토올리고사카라이드, 향부자추출물, 사탕무뿌리추출물, 징크피씨에이, 베툴린, 포타슘락테이트, 락틱애씨드, 소듐클로라이드

[세럼]
정제수,온천수*,글리세린,다이글리세린,1,2-헥산다이올,이눌린,판테놀,소듐폴리아크릴로일다이메틸타우레이트,잔탄검,소듐하이알루로네이트,프로판다이올,병풀잎추출물,시트릭애씨드,징크글루코네이트,글루타밀아미도에틸인돌"
"A000000254684","[서예지 PICK] 런드리유 카밍 고체 미스트 100+100g 더블 기획","런드리유","100.0","200.0","g(약 1ml 상당으로 근사)","42000","26500","1325.0","정제수, 글리세린, 프로판다이올, 부틸렌글라이콜, 오레가노잎추출물, 1,2-헥산다이올, 편백잎추출물, 해수, 젤란검, 칼슘락테이트, 에틸헥실글리세린, 다이소듐이디티에이, 다이포타슘글리시리제이트, 다이프로필렌글라이콜, 락토바실러스발효용해물, 락토코쿠스발효용해물, 비피다발효용해물, 토코페롤, 엑토인, 서양민들레잎추출물"
"A000000259222","[7월 올영픽/화잘먹 쿨링 미스트] 바이오던스 콜라겐 펩타이드 젤리 세럼 미스트 50ml 기획(+퍼글러 미스트 파우치)","바이오던스","50.0","50.0","ml","19000","16200","3240.0","콜라겐수(770,965ppm), 글리세린, 프로판다이올, 트라이프로필렌글라이콜, 1,2-헥산다이올, 나이아신아마이드, 글리세레스-26, 정제수, 소듐클로라이드, 하이드록시아세토페논, 젤란검, 칼슘락테이트, 아데노신, 다이소듐이디티에이, 갈락토미세스발효여과물, 사이아노코발아민, 치자추출물, 하이드롤라이즈드스클레로튬검, 카라기난, 하이드롤라이즈드하이알루로닉애씨드, 부틸렌글라이콜, 잔탄검, 캐롭검, 덱스트린, 수크로오스, 아세틸헥사펩타이드-8(1,000ppb), 콜라겐추출물(100ppb), 카퍼트라이펩타이드-1(0.1ppb), 트라이펩타이드-1(0.1ppb), 팔미토일트라이펩타이드-5(0.1ppb), 헥사펩타이드-9(0.1ppb), 팔미토일펜타펩타이드-4(0.1ppb), 올리고펩타이드-1(0.1ppb),팔미토일트라이펩타이드-38(0.1ppb), 펜타펩타이드-4(0.1ppb), 헥사펩타이드-12(0.1ppb)"
"A000000220688","[수부지/안개분사] 한율 어린쑥 트러블 진정 미스트 120ml 리필 기획 (+어린쑥 미스트 120ml 리필)","한율","120.0","240.0","ml","25000","19400","808.3","정제수, 프로판다이올, 부틸렌글라이콜, 황해쑥잎수(17,590ppm), 자일리톨, 펜틸렌글라이콜, 카프릴릭/카프릭트라이글리세라이드, 피피지-13-데실테트라데세스-24, 글리세릴카프릴레이트, 향료, 2,3-부탄다이올, 에틸헥실글리세린, 소듐메타포스페이트, 1,2-헥산다이올, 글루코노락톤, 레시틴, 락토바실러스발효물, 글리세린, 이눌린라우릴카바메이트, 살리실릭애씨드, 황해쑥잎추출물(10ppm), 병풀꽃/잎/줄기추출물, 토코페롤, 소듐하이알루로네이트, 하이드롤라이즈드하이알루로닉애씨드, 소듐하이알루로네이트크로스폴리머, 하이알루로닉애씨드, 소듐아세틸레이티드하이알루로네이트"
"A000000240453","[1초 수분결 미스트] 에스네이처 아쿠아 스쿠알란 미스트 100ml 더블기획","에스네이처","100.0","200.0","ml","48000","30240","1512.0","정제수, 부틸렌글라이콜, 글리세린, 메틸프로판다이올, 폴리글리세릴-10라우레이트, 스쿠알란(10,000ppm), 버지니아풍년화잎추출물, 달맞이꽃꽃추출물, 녹차추출물, 글리세릴글루코사이드, 1,2-헥산다이올, 아데노신, 에틸헥실글리세린, 하이드로제네이티드레시틴, 소듐시트레이트, 석시닉애씨드, 다이소듐이디티에이, 잔탄검, 하이드록시아세토페논"
