"goods_no","product_name","brand_name","ml_표시용량","ml_추정총용량","용량_단위","price_regular","price_sale","price_per_10ml","ingredient"
"A000000257580","[1등선크림/끈적임ZERO] VT 피디알엔 에어 클라우드 선스크린 50ml","VT","50.0","50.0","ml","26000","17500","3500.0","정제수, 다이부틸아디페이트, 부틸옥틸살리실레이트, 에칠헥실트리아존, 나이아신아마이드, 드로메트리졸트리실록산, 폴리글리세릴-3다이스테아레이트, 테레프탈릴리덴디캠퍼설포닉애씨드, 폴리메틸실세스퀴옥세인, 디에칠아미노하이드록시벤조일헥실벤조에이트, 트로메타민, 1,2-헥산다이올, 판테놀, 펜틸렌글라이콜, 글리세릴스테아레이트, 실리카, 카프릴릴메티콘, 비스-에칠헥실옥시페놀메톡시페닐트리아진, 프로판다이올, 포타슘세틸포스페이트, 폴리C10-30알킬아크릴레이트, 메틸프로판다이올, 카보머, 아크릴레이트/C10-30알킬아크릴레이트크로스폴리머, 에틸헥실글리세린, 잔탄검, 아데노신, 폴리에터-1, 글리세린, 산양삼추출물, 소듐하이알루로네이트, 하이알루로닉애씨드, 바이오사카라이드검-1, 토코페롤, 엑토인, 동백나무씨추출물, 3-O-에틸아스코빅애씨드, 징크하이드롤라이즈드하이알루로네이트, 소듐디엔에이(0.25ppm), 시트릭애씨드, 밀몽화꽃추출물, 부틸렌글라이콜, 미역취추출물, 클로브싹추출물, 다이펩타이드다이아미노부티로일벤질아마이드다이아세테이트, 다이메틸실란올하이알루로네이트, 하이드롤라이즈드하이알루로닉애씨드, 하이드롤라이즈드소듐하이알루로네이트, 소듐하이알루로네이트크로스폴리머, 하이드록시프로필트라이모늄하이알루로네이트, 소듐아세틸레이티드하이알루로네이트, 소듐하이알루로네이트다이메틸실란올"
"A000000257674","[8월올영픽/NEW] 오휘 데이쉴드 다크스팟 콜라겐 톤업 선 30ml/50ml (기획/단품)","오휘","30.0","80.0","ml","","34000","4250.0","정제수, 다이부틸아디페이트, 다이아이소프로필세바케이트, C12-15알킬벤조에이트, 티타늄디옥사이드, 프로판다이올, 메칠렌비스-벤조트리아졸릴테트라메칠부틸페놀, 나이아신아마이드, 폴리글리세릴-3메틸글루코오스다이스테아레이트, 코코-카프릴레이트/카프레이트, 1,2-헥산다이올, 에칠헥실트리아존, 부틸렌글라이콜, 디에칠아미노하이드록시벤조일헥실벤조에이트, 판테놀, 세틸포스페이트, 세테아릴알코올, 글리세릴스테아레이트, 폴리C10-30알킬아크릴레이트, 폴리하이드록시스테아릭애씨드, 다이메티콘, 데실글루코사이드, 암모늄폴리아크릴로일다이메틸타우레이트, 세테아릴올리베이트, 비닐다이메티콘/메티콘실세스퀴옥세인크로스폴리머, 솔비탄올리베이트, 트로메타민, 알루미나, 알루미늄스테아레이트, 아크릴레이트/C10-30알킬아크릴레이트크로스폴리머, 알란토인, 소듐스테아로일글루타메이트, 스테아릭애씨드, 스테아릴글리시레티네이트, 폴리실리콘-11, 폴리우레탄-15, 아데노신, 토코페롤, 글리세린, 만니톨, 플로레틴, 트라이소듐이디티에이, 돌콩오일, 잔탄검, 드럼스틱씨오일, 트라이에톡시카프릴릴실레인, T-부틸알코올, 다이메티콘크로스폴리머, 콜라겐(15ppm), 카프릴릴글라이콜, 크리신, 다마스크장미꽃추출물, 소듐디엔에이, 트라넥사믹애씨드, 아스코빅애씨드, 카프릴릭/카프릭트라이글리세라이드, 알루미늄하이드록사이드, 유비퀴논, 아이소프로필티타늄트라이아이소스테아레이트, 에틸헥실글리세린, 하이드로제네이티드레시틴, 미리스틱애씨드, 다이소듐이디티에이, 적색산화철, 울트라마린, 티타늄디옥사이드(CI 77891), 향료, 하이드록시시트로넬알, 리모넨, 리날룰"
"A000000219553","[1등 선크림/화잘먹] 구달 맑은 어성초 진정 수분 선크림 50ml 1+1 기획","구달","50.0","100.0","ml","22000","17900","1790.0","정제수, 다이부틸아디페이트, 프로판다이올, 폴리메틸실세스퀴옥세인, 다이아이소프로필세바케이트, 디에칠아미노하이드록시벤조일헥실벤조에이트, 에칠헥실트리아존, 메칠렌비스-벤조트리아졸릴테트라메칠부틸페놀, 코코-카프릴레이트/카프레이트, 디에칠헥실부타미도트리아존, 부틸렌글라이콜, 글리세린, 1,2-헥산다이올, 카프릴릴메티콘, 약모밀추출물, 펜틸렌글라이콜, 베헤닐알코올, 폴리C10-30알킬아크릴레이트, 폴리글리세릴-3메틸글루코오스다이스테아레이트, 데실글루코사이드, 트로메타민, 카보머, 아크릴레이트/C10-30알킬아크릴레이트크로스폴리머, 소듐스테아로일글루타메이트, 폴리아크릴레이트크로스폴리머-6, 에틸헥실글리세린, 잔탄검, t-부틸알코올, 토코페롤"
"A000000171650","[1+1/수분썬] 라운드랩 자작나무 수분 선크림 50ml 더블 기획","라운드랩","50.0","100.0","ml","37500","24500","2450.0","정제수, 다이부틸아디페이트, 프로판다이올, 디에칠아미노하이드록시벤조일헥실벤조에이트, 폴리메틸실세스퀴옥세인, 에칠헥실트리아존, 나이아신아마이드, 메칠렌비스-벤조트리아졸릴테트라메칠부틸페놀, 코코-카프릴레이트/카프레이트, 카프릴릴메티콘, 디에칠헥실부타미도트리아존, 글리세린, 1,2-헥산다이올, 부틸렌글라이콜, 자작나무수액(1,425ppm), 소듐하이알루로네이트, 하이알루로닉애씨드, 글리세릴글루코사이드, 다이포타슘글리시리제이트, 알란토인, 쇠비름추출물, 개똥쑥추출물, 구주소나무잎오일, 캐모마일꽃오일, 아크릴레이트/C10-30알킬아크릴레이트크로스폴리머, 소듐스테아로일글루타메이트, 폴리아크릴레이트크로스폴리머-6, 에틸헥실글리세린, 아스코빅애씨드, 아데노신, 펜틸렌글라이콜, 베헤닐알코올, 폴리C10-30알킬아크릴레이트, 폴리글리세릴-3메틸글루코오스다이스테아레이트, 데실글루코사이드, 트로메타민, 잔탄검, t-부틸알코올, 토코페롤, 카보머"
"A000000242716","[사용감 개선] 식물나라 가벼운 수분 선 젤 60ml 단품/2입/대용량/트래블키트","식물나라","60.0","120.0","ml","9800","5900","491.7","[선젤] 정제수, 트라이프로필렌글라이콜, 사이클로펜타실록세인, 다이부틸아디페이트, 다이아이소프로필아디페이트, 에칠헥실트리아존, 비스-에칠헥실옥시페놀메톡시페닐트리아진, 옥토크릴렌, 나이아신아마이드, 폴리메틸실세스퀴옥세인, 테레프탈릴리덴디캠퍼설포닉애씨드, 세테아릴알코올, 트로메타민, 1,2-헥산다이올, 알로에베라잎추출물, 소듐하이알루로네이트, 다이메티콘, 펜틸렌글라이콜, C13-15알케인, 하이드록시에틸우레아, C13-16아이소알케인, 소듐폴리아크릴로일다이메틸타우레이트, 다이메티콘/비닐다이메티콘크로스폴리머, 세테아릴올리베이트, 폴리C10-30알킬아크릴레이트, 솔비탄올리베이트, 소듐스테아로일글루타메이트, 부틸렌글라이콜, 폴리글리세릴-10미리스테이트, 다이메티콘올, 글리세릴글루코사이드, 메틸프로판다이올, 에틸헥실글리세린, 폴리아크릴레이트크로스폴리머-6, 폴리에터-1, 아데노신, 글리세린, 알지닌, 토코페롤, 카보머, 향료
[클렌징폼]
정제수, 글리세린, 미리스틱애씨드, 포타슘하이드록사이드, 코코-글루코사이드, 라우릭애씨드, 메틸프로판다이올, 팔미틱애씨드, 스테아릭애씨드, 글리세릴스테아레이트, 탄산수(9,750ppm), 당느릅나무뿌리추출물, 줄맨드라미씨추출물, 무화과추출물, 병풀추출물, 페퍼민트오일, 하이드로제네이티드레시틴, 솔비탄올리베이트, 에틸헥실글리세린, 만니톨, 다이소듐이디티에이, 피이지-14M, 마이크로크리스탈린셀룰로오스, 부틸렌글라이콜, 수크로오스, 1,2-헥산다이올, 멘톨, 에틸멘탄카복사마이드, 옥수수전분, 하이드록시프로필메틸셀룰로오스, 실리카, 비에이치티, 세라마이드엔피, 향료, 울트라마린"
"A000000254726","[1+1/TXA/화잘먹] 셀리맥스 트라넥삼산 브라이트닝 잡티 선크림 50ml 더블 기획","셀리맥스","50.0","100.0","ml","27500","22900","2290.0","정제수, 프로판다이올, 나이아신아마이드, 다이부틸아디페이트, 폴리메틸실세스퀴옥세인, 다이아이소프로필세바케이트, 디에칠아미노하이드록시벤조일헥실벤조에이트, 에칠헥실트리아존, 메칠렌비스•벤조트리아졸릴테트라메칠부틸페놀, 코코•카프릴레이트/카프레이트, 디에칠헥실부타미도트리아존, 1,2•헥산다이올, 부틸렌글라이콜, 카프릴릴메티콘, 트라넥사믹애씨드, 펜틸렌글라이콜, 베헤닐알코올, 폴리C10•30알킬아크릴레이트, 글리세린, 폴리글리세릴•3메틸글루코오스다이스테아레이트, 데실글루코사이드, 트로메타민, 카보머, 아크릴레이트/C10•30알킬아크릴레이트크로스폴리머, 판테놀, 소듐스테아로일글루타메이트, 폴리아크릴레이트크로스폴리머•6, 에틸헥실글리세린, 아데노신,잔탄검, 토코페롤, 비파나무잎추출물, 폴리글리세릴•4아이소스테아레이트, 카프릴릭/카프릭트라이글리세라이드, 시트릭애씨드, 스피어민트추출물,  다이스테아다이모늄헥토라이트, 쿼세틴"
"A000000259586","[7월 올영픽/마스코트 파우치 증정] 메디힐 마데카소사이드 수분 선세럼 흔적 리페어 50g +50g 더블기획","메디힐","50.0","100.0","g(약 1ml 상당으로 근사)","34900","22900","2290.0","전성분 정제수, 다이부틸아디페이트, 프로판다이올, 부틸옥틸살리실레이트, 에칠헥실트리아존, 메틸메타크릴레이트크로스 폴리머, 비스-에칠헥실옥시페놀메톡시페닐트리아진, 옥토크릴렌, 나이아신아마이드, 테레프탈릴리덴디캠퍼설포닉애씨드, 알지닌, 다이메티콘올, 메틸프로판다이올, 폴리메틸실세스퀴옥세인, 1,2-헥산다이올, 펜틸렌글라이콜, C11-13아이소알케인, 하이드록시에틸우레아, 부틸렌글라이콜, 베헤닐알코올, 폴리글리세릴-3메틸글루코오스다이스테아레이트, 다이프로필렌 글라이콜, 카보머, 아이소도데케인, 폴리C10-30알킬아크릴레이트, 다이메티콘/비닐다이메티콘크로스폴리머, 폴리에터-1, 스핑고모나스발효추출물, 에틸헥실글리세린, 병풀잎추출물(407 ppm), 아데노신, 서양배추출물, 소듐스테아로일글루타 메이트, 연필향나무오일, 마데카소사이드(200 ppm), 소듐하이알루로네이트, 다마스크장미꽃수, 멜론추출물, 오리스뿌리 추출물, 서양송악잎/줄기추출물, 호호바씨오일, 광곽향오일, 불가리스쑥오일, 마이크로크리스탈린셀룰로오스, 로즈마리잎 오일, 병풀추출물(4 ppm), 셀룰로오스검, 토코페롤, 하이드롤라이즈드하이알루로닉애씨드, 하이드롤라이즈드소듐하이알 루로네이트, 하이드록시프로필트라이모듐하이알루로네이트, 사과추출물, 에리스리톨, 글리세린, 판테놀, 솔비톨, 보검선인 장줄기추출물, 마데카식애씨드(0.04 ppb), 아시아틱애씨드(0.03 ppb), 아시아티코사이드(0.03 ppb), 효모발효여과물,
바이오사카라이드검-4, 다이소듐포스페이트, 다발방패버섯추출물"
"A000000151904","[5중프루프] 식물나라 워터프루프 선 크림 100mL","식물나라","100.0","100.0","ml","19000","10800","1080.0","정제수, 사이클로펜타실록세인, 징크옥사이드, 호모살레이트, 에칠헥실살리실레이트, 폴리글리세릴-3폴리다이메틸실록시에틸다이메티콘, 부틸렌글라이콜다이카프릴레이트/다이카프레이트, 프로필헵틸카프릴레이트, 글리세린, 나이아신아마이드, 다이프로필렌글라이콜, 메틸메타크릴레이트크로스폴리머, 티타늄디옥사이드, 디에칠아미노하이드록시벤조일헥실벤조에이트, 부틸옥틸살리실레이트, 비스-에칠헥실옥시페놀메톡시페닐트리아진, 알로에베라잎추출물, 캐모마일꽃추출물, 가시대나무줄기추출물, 멕시칸치아씨추출물, 병풀추출물, 쇠비름추출물, 약모밀추출물, 울금뿌리추출물, 포트마리골드꽃추출물, 바오밥나무씨오일, 소듐하이알루로네이트, 달맞이꽃오일, 다이스테아다이모늄헥토라이트, 마그네슘설페이트, 칼슘알루미늄보로실리케이트, 솔비탄카프릴레이트, 폴리글리세릴-6폴리리시놀리에이트, 트라이에톡시카프릴릴실레인, 마이카, 스테아릭애씨드, 알루미늄하이드록사이드, 부틸렌글라이콜, 글리세릴카프릴레이트, 아데노신, 프로판다이올, 판테놀, 사카라이드하이드롤리세이트, 드럼스틱씨오일, 프로필렌글라이콜, 토코페롤, 산소, 1,2-헥산다이올, 향료, 에틸헥실글리세린, 펜틸렌글라이콜"
"A000000180162","[7월올영픽/무기자차] 닥터지 그린 마일드 업 선 플러스50ml 기획 (50ml+50ml+10ml) (선크림)","닥터지","50.0","160.0","ml","29000","24800","1550.0","1. 그린마일드 업 선 플러스 50ml(본품+구성품)
정제수, 징크옥사이드, 프로판다이올, 부틸옥틸살리실레이트, 프로필헵틸카프릴레이트, 코코-카프릴레이트/카프레이트, 사이클로헥사실록세인, 카프릴릴메티콘, 아이소도데케인, 폴리글리세릴-3폴리다이메틸실록시에틸다이메티콘, 메틸트라이메티콘, 메틸메타크릴레이트크로스폴리머, 다이스테아다이모늄헥토라이트, 마그네슘설페이트, 트라이에톡시카프릴릴실레인, 1,2-헥산다이올, 폴리글리세릴-2다이폴리하이드록시스테아레이트, 라우릴폴리글리세릴-3폴리다이메틸실록시에틸다이메티콘, 폴리메틸실세스퀴옥세인, 글리세릴카프릴레이트, 카프릴릴글라이콜, 에틸헥실글리세린, 소듐하이알루로네이트, 부틸렌글라이콜, 토코페롤, 병풀추출물, 타라열매추출물, 프랑스해안송껍질추출물, 코토니추출물, 7-데하이드로콜레스테롤, 약모밀추출물, 엑토인, 밀몽화꽃추출물, 락토바실러스발효물, 하이드록시신나믹애씨드, 루틴"
"A000000209372","[청담샵PICK/원조화잘먹]프롬리에 EGF 워터 화잘먹 선앰플 56ml+30ml 기획/워터키링기획/단품","프롬리에","56.0","86.0","ml","33000","18900","2197.7","[워터선앰플] 정제수, 다이부틸아디페이트, 프로판다이올, 부틸옥틸살리실레이트, 에칠헥실트리아존, 테레프탈릴리덴디캠퍼설포닉애씨드, 폴리글리세릴-3다이스테아레이트, 나이아신아마이드, 트로메타민, 1,2-헥산다이올, 디에칠아미노하이드록시벤조일헥실벤조에이트, 카프릴릴메티콘, 펜틸렌글라이콜, 폴리메틸실세스퀴옥세인, 폴리실리콘-15, 다시마추출물, 한련초잎추출물, 풍선덩굴꽃/잎/덩굴추출물, 병풀추출물, 하이드로제네이티드레시틴, 에키움플란타기네움씨오일, 글리세릴스테아레이트, 비스-에칠헥실옥시페놀메톡시페닐트리아진, 세테아릴알코올, 카보머, 암모늄아크릴로일다이메틸타우레이트/브이피코폴리머, 글리세린, 다이프로필렌글라이콜, 글리세릴스테아레이트시트레이트, 아크릴레이트/C10-30알킬아크릴레이트크로스폴리머, 소듐스테아로일글루타메이트, 에틸헥실글리세린, 옥틸도데칸올, 아데노신, 프룩토올리고사카라이드, 베타-글루칸, 에스에이치-올리고펩타이드-1, 하이드롤라이즈드하이알루로닉애씨드, 해바라기씨오일불검화물, 토코페롤

[보송선앰플] 정제수,다이부틸아디페이트,부틸옥틸살리실레이트,프로판다이올,변성알코올,에칠헥실트리아존,테레프탈릴리덴디캠퍼설포닉애씨드,폴리메틸실세스퀴옥세인,폴리글리세릴-3다이스테아레이트,나이아신아마이드,트로메타민,1,2-헥산다이올,부틸렌글라이콜,디에칠아미노하이드록시벤조일헥실벤조에이트,카프릴릴메티콘,펜틸렌글라이콜,폴리실리콘-15,스핑고모나스발효추출물,귀리커넬추출물,아티초크잎추출물,말라카이트추출물,병풀추출물,쇠비름추출물,노니추출물,약모밀추출물,녹차수,하이드로제네이티드레시틴,소듐하이알루로네이트,글리세릴스테아레이트,브이피/에이코신코폴리머,비스-에틸헥실옥시페놀메톡시페닐트라이아진,세테아릴알코올,메틸프로판다이올,글리세린,암모늄아크릴로일다이메틸타우레이트/브이피코폴 리머,카보머,글리세릴스테아레이트시트레이트,아크릴레이트/C10-30알킬아크릴레이트크로스폴리머,에틸헥실글리세린,소듐스테아로일글루타메이트,아데노신,폴리쿼터늄-51,베타-글루칸,테트라하이드록시프로필에틸렌다이아민,글라이신,알지닌,토코페롤,알란토인,판테놀,아시아티코사이드,마데카식애씨드,아시아틱애씨드,에스에이치-올리고펩타이드-1,향료,페녹시에탄올"
