product_id,customer_id,review,rating,purchase_date,option,skin_types,tags
bodyLotionCream_01,새루의하루,"여름에 쓰기엔 조금 리치한거 같아요 …!
그거빼고는 다 좋음! 
특히 아토피 피부인들에게 ㅠ 한줄기 빛같은 존재",5,2026.07.04,[옵션] 334ML+100ML,"트러블성, 봄웜톤, 미백, 주름",한달이상사용
bodyLotionCream_01,뿌붑,"샘플 사용해보고 좋아서 구매했어요
여름에 발라도 끈적임 없어서 여름사용에 좋습니다
그리고 분품은 끝까지 사용할수 있게 설계돼있어 펌프 열면 안돼요!
보습좋고 끈적임 없는 순한 제품이라 만족합니다",5,2026.07.03,,"지성, 여름쿨톤, 잡티, 미백",
bodyLotionCream_01,빠르밍,"보습감이 좋고 끈적임이 없어 재구매 했어요.
구성이 좋아요.",5,2026.06.05,[옵션] 334ML+100ML,"복합성, 봄웜톤, 주름, 피지과다",
bodyLotionCream_01,나쵸,늘 쓰는 로션:) 가볍게 잘 발리고 끝까지 다 쓸 수 있어서 좋아요:) 라방때 구입하고 머리핀으로 받았는데 휘뚤마뚤 검정으로 받았어요 잘쓸게요 감사합니다💕,5,2026.06.02,[옵션] 334ML+100ML,"민감성, 쿨톤, 민감성, 모공",
bodyLotionCream_01,프레싀영,끈적이지도 않고 무난하게 보습 채울 수 있는 바디크림이에요. 생각보다 보습력이 좋아서 이런 계졸에도 잘 사용하고 있어요.,5,2026.05.30,[옵션] 334ML+100ML,"복합성, 여름쿨톤, 각질, 트러블",
bodyLotionCream_01,흰송로버섯,"무향에 자극감 없고 얼굴•몸 막 사용하기에 좋아요. 일리윤은 순하다는 인식이 있어서 피부 상태가 어떻든간에 마음 놓고 바릅니다. 건성이다 보니 보습 유지력이 오래 가진 않지만, 그렇다고 또 부족한 것도 아니에요.",5,2026.07.13,[옵션] 334ML,"건성, 쿨톤, 잡티, 민감성",한달이상사용
bodyLotionCream_01,랑방이,순하고 무향이고 피부에 보습감도 짱이고. 정말 좋은 것 같아요. 저는 얼굴보다는 바디로 사용하고 있습니다. 유분기 없이 촉촉한 게 마무리도 깔끔하고 산뜻해요. 아토피 피부는 아직 아니지만은 피부를 진정시켜 주는 것 같습니다.,5,2026.07.05,[옵션] 334ML+100ML,"복합성, 웜톤, 잡티, 미백",
bodyLotionCream_01,잉체,"극건성 민감성 피부입니다
성분이 워낙 순해서 써요
바디에 바르면 조금 끈적이고 흡수가 느려요. 
주로 얼굴 목에 순하고 가볍게 바를 때 선호하는 제품인데
이거보단 집중 크림을 훨씬 추천해요",5,2026.07.05,[옵션] 334ML+100ML,"건성, 여름쿨톤, 주름, 민감성",
bodyLotionCream_02,셩루,바디에 쓰려고 구매했는데 기초라인에 가끔 수분선크림 해도 갠찮을듯,5,2026.07.09,,"복합성, 여름쿨톤, 잡티, 미백",
bodyLotionCream_02,쟤재,냄새도 별로 안나고 끈적임도 크지 않아 팔다리에 막 바르기 좋아요!,5,2026.07.06,,"복합성, 겨울쿨톤, 다크서클",
bodyLotionCream_02,난나나나난나나나나나,써보고 싶던건데 가격할인하길래 한번 사봤어요. 잘쓸게요,5,2026.07.06,,"민감성, 웜톤, 잡티, 미백",
bodyLotionCream_02,하암드르렁,기존 아토 로션 이미 수년째 이것만 사용 중인데요. 여기서 선 로션 나왔다고 해서 믿고 바로 구매했습니다! 여름이다 보니까 몸에도 많은 양이 필요한데 이제품은 대용량이라서 정말 잘 쓸 수 있을 것 같아요.,5,2026.07.03,,"복합성, 여름쿨톤, 각질, 트러블",
bodyLotionCream_02,퀸엘모,"한동안 오랜 품절이라 기다리고 기다려서 샀어요! 여름에 샤워하고 샤샤샥 바르고 나가기 딱 좋았습니다, 기존 일리윤 바디로션처럼 보송산뜻 느낌까진 아니지만 선크림이라는거 감안하면 아주 가볍게 발려요. 끈적임이 아예 없는건 아님 그치만 이 정도면 막 바르기도 좋고 만족스러웠슴당",5,2026.07.22,,"지성, 쿨톤, 잡티, 각질",
bodyLotionCream_02,제이비,"대용량이고
순해서 얼굴이며 몸 전체에 팍팍 바르기 좋습니다.
로션타입이라 발림성도 좋아요",5,2026.07.03,,"건성, 모공, 탄력",
bodyLotionCream_02,코코팜팡,"출근때 바를만한 가벼운 바디선크림이예요
끈적거리는게 싫어서 팔엔 안 바르고다녔는데
바디로션처럼 슥슥 바르기 좋아요",5,2026.07.19,,,
bodyLotionCream_02,eeuunni,"외출할 때 몸에 간편하게 바르려고 구매했어요. 원래는 선크림을 잘 안 바르는 편인데, 이 제품은 바디로션처럼 부드럽게 발려서 나가기 전에 슥 바르기 편하더라고요. 덕분에 예전보다 훨씬 꾸준히 바르게 됐어요. 향도 거의 없어서 부담 없이 사용하기 좋고, 무난하게 쓰기 좋습니다!!",5,2026.07.21,,,
bodyLotionCream_02,따따토,"✔️ 진짜 로션처럼 발리고 몇 분 지나면 끈적임 없이 마무리감이 깔끔해요. 걍 로션이랑 똑같은 것 같아요. 시간 지나서 만졌을 때도 서걱한 느낌 없이 걍 내 살 그대로였어요!

✔️ 제일 마음에 드는 점 : 향이 거의 안느껴짐!!! 코 가까이 대고 맡으면 향이 있나 싶은 정도에요. 기존에 일리윤 이지워시 선크림도 바디용으로 잘 썼는데 그건 선크림 특유의 냄새가 너무 심하게 느껴졌거든요. 제 친구는 별로 안난다고 하던데 사바사인건지 모르겠지만ㅠ 아무튼 평소에 선크림 특유의 향이 너무 안맞는다고 생각하신 분들은 이거 써보면 좋을 것 같아요! 진짜 향이 거의 안느껴진가는 게 제일 만족스러워요.

✔️ 차단력은 좀 써봐야 알겠지만... 일단 대기업 제품이니까 믿어요🫠 발림성이 좋은 거랑 별개로 차단력 신경 쓰인다면 역시 덧바를 용도의 선크림이 필요할 것 같아요. 그러니까 이거 100ml 미만 정도로, 휴대할 수 있는 용기로도 나오면 좋겠습니다!",5,2026.07.18,,"지성, 여름쿨톤, 블랙헤드, 모공",
bodyLotionCream_02,p02****,"향은 미세하게 선크림 특유의 향이 나요! 크게 거슬리진 않아요! 

선크림 끈적해서 싫어해서 산건데 적당히 촉척 보숭해서 좋네요! 

바디로션은 바르기 귀찮아서 안바르는데 이건 잘 바를 듯 합니다! 추천! 그냥 로션같음!!

! 바르고 시간 지나니까 좀 뻔들거리긴 합니다!",5,2026.07.07,,"건성, 여름쿨톤, 트러블, 민감성",
bodyLotionCream_03,방구석코덕지망생,"솔직히 하이산 가방때문에 혹해서 겸사겸사 괄사를 산 기분
쿨링 괄사 세럼이라는 개념이 신박해서 그냥 써봤는데 퇴근하고 뭉친 종아리나 승모에 써주면 싸아아 하니 좋군요
그러나 사용 후 잘 닦아줘야.. 청결이 유지가 될듯
승모랑 종아리 사용 추천드림
아 그리고 사이즈가 생각보다 있어서 놀랬음
가방 샀더니 쿨링 괄사받는 기획? 낫배드",5,2026.07.04,[옵션] 쿨링괄사세럼 + 하이산 사코슈 기획,"지성, 겨울쿨톤, 트러블, 피지과다",
bodyLotionCream_03,Anita,"I was debating for a long time to buy this or not because I found it a little expensive, but it is better than I expected. The cooling effect is insanely strong. I thought it will just be a little effective but oh, I was really wrong. I will repurchase it every summer from now on.
Also the bag is so cute, I wanted to buy from this brand for a long time and I am obsessed with dots on clothes and accessories lately~",5,2026.07.05,[옵션] 쿨링괄사세럼 + 하이산 사코슈 기획,,
bodyLotionCream_03,쥬라기공원87,"하이산 콜라보 못참아 🥺🥺💙
매장에 재고있는지 확인되자마자 바로 샀어요 
가방도 너무 귀엽고 예쁜데 괄사도 파스처럼 시원한데 진짜 좋아요!!!",5,2026.07.01,[옵션] 쿨링괄사세럼 + 하이산 사코슈 기획,"트러블성, 봄웜톤, 트러블, 민감성",
bodyLotionCream_03,올영이좋아,"가격대가 있어 고민하다가 일단 질러봤어요⭐️
바르고 나서 확실해요 쿨링감👍🏻
이거 바르고 마사지해준 다음 풀리오 돌리면 극락

옛날에 ㅁㅅ같은곳에서 유행하던 쿨 크림 같아요 ㅋㅋㅋ
쿨 크림에 괄사가 달려있는 느낌?
부기빠지는건 모르겠고 시원해서 좋아요!",5,2026.06.02,[옵션] 쿨링 괄사 세럼 60ml,"복합성, 여름쿨톤, 잡티, 주름",
bodyLotionCream_03,올리브9,자극이 적은 제품이에요. 사용하기도 편하고 좋은 제품입니다.,5,2026.07.13,[옵션] 괄사세럼 60ml + 30ml 기획,"복합성, 봄웜톤, 트러블, 모공",
bodyLotionCream_03,모뜨,N차 구매해서 사용 중인데 이번엔 사은품 포함이라 더 좋네요. 쿨링 효과가 탁월하고 제품 용기의 마사지 효과가 뛰어나서 운동 후 종아리 풀어줄 때 아주 좋았어요. 휴대가 간편해서 여행 갈때도 챙겨갔어요.,5,2026.07.04,[옵션] 쿨링괄사세럼 + 하이산 사코슈 기획,"복합성, 웜톤, 잡티",
bodyLotionCream_03,이국희,솔직히 무슨 제품인지도 모르고 구매한거에요 하이산가방갖고싶어서요..ㅎ 엄마 종아리 마사지해줬어요 시원히대요 향은 파스향이네요,5,2026.07.02,[옵션] 쿨링괄사세럼 + 하이산 사코슈 기획,,
bodyLotionCream_03,올리뷰,"매장에서 사코슈 샘플 보자마자 너무 괜찮아 보였는데 사실 제품은 크게 필요없어서 고민하다 라이브해서 구매했습니다.

가방 퀄리티는 무난해요. 디자인이 포인트고 앞에 메쉬망에 내부도 꽤 넓어서 끈 빼면 파우치로도 쓸 수 있고 간단한 가방으로 쓸수도 있어서 좋아요! 실제로 판매도 하는 상품인데 콜라보로 한정 컬러로 나온것 같더라구요.
기획 구성은 너무 좋은 것 같아요.

다만ㅠ 쿨링 세럼 자체가 매장에서도 테스트를 좀 해보고 구매한건데도 쿨링감이 좀 파스처럼 쎈 제품이다보니 뒷목에 바르는순간 자극감이 너무 심해서 목이 따갑고 간지럽더라구요; 목 부분 마사지해야겠다 싶었는데 자극이 너무 심해서 못쓸 것 같고 다리처럼 안예민한 부위에나 쓰겠더라구요.

확실히 바르면 엄청 시원해지면서 좀 얼얼할 정도인데 향이나 느낌이 강한 파스바르는 거랑 거의 동일해요.
제품자체는 끈적임은 없고 흡수는 빠른데 자극이 심해서 피부타입별로 호불호가 클것같네요..

그래도 사코슈 증정이 너무 마음에 들어서 후회는 없습니다ㅎㅎ",5,2026.07.19,[옵션] 쿨링괄사세럼 + 하이산 사코슈 기획,"건성, 봄웜톤, 잡티, 각질",
bodyLotionCream_03,대애충,"넛세린 아로마 넛 액티핏 쿨링 괄사 세럼 슬림핏 괄사 세럼 
바르면서 괄사까지 편해요 ~",5,2026.06.26,[옵션] 슬림핏 괄사 세럼 60ml + 30ml,"복합성, 쿨톤, 모공",한달이상사용
bodyLotionCream_04,SSHIN,동생이 꾸준히 사용하고 있는 제품이에요 편하게 뿌리기만 하면 되니깐 계속 쓰게 되나봐요,5,2026.07.10,[옵션] NEW 그레이스올리브 기획,,"한달이상사용, 재구매"
bodyLotionCream_04,꼬마먀녀,올리브향 잘 쓰고 비누향이래서 샀는데 살짝 절에서 나는 듯한 향 나요 그래도 나쁘진 않아요,5,2026.07.05,[옵션] 스포틸그린 기획,"건성, 각질, 민감성",
bodyLotionCream_04,꼬마먀녀,"올리브향이 제일 좋아요
미스트처럼 뿌려져서 손으로 안쓰고 싶었지만 그래도 손으로 흡수시켜줘야해서 좀 아쉬워요!",5,2026.07.05,[옵션] NEW 그레이스올리브 기획,"건성, 각질, 민감성",
