"goods_no","product_name","brand_name","ml_표시용량","ml_추정총용량","용량_단위","price_regular","price_sale","price_per_10ml","ingredient","공통_ingredient","차별화_ingredient"
"A000000245794","[화잘먹/단독기획] 폴라초이스 바하 리퀴드 엑스폴리언트 118ml 기획 (+바하 리퀴드 30ml)","폴라초이스","118.0","148.0","ml","39000.0","29640","2002.7","정제수, 프로필렌글라이콜, 나이아신아마이드, 펜틸렌글라이콜, 글리세린, 살리실릭애씨드(0.5%), 흰버드나무껍질추출물(0.5%), 피이지/피피지-17/6코폴리머, 폴리솔베이트20, 비스-피이지-18메틸에터다이메틸실레인, 소듐파이테이트, 10-하이드록시데카노익애씨드, 알란토인, 다이포타슘글리시리제이트, 카프릴릴글라이콜, 페녹시에탄올, 클로페네신, 소듐하이드록사이드, 1,2-헥산다이올, 소듐하이알루로네이트, 비에이치티","","[21-1] 정제수, [21-2] 프로필렌글라이콜, [21-3] 나이아신아마이드, [21-4] 펜틸렌글라이콜, [21-5] 글리세린, [21-6] 살리실릭애씨드(0.5%), [21-7] 흰버드나무껍질추출물(0.5%), [21-8] 피이지/피피지-17/6코폴리머, [21-9] 폴리솔베이트20, [21-10] 비스-피이지-18메틸에터다이메틸실레인, [21-11] 소듐파이테이트, [21-12] 10-하이드록시데카노익애씨드, [21-13] 알란토인, [21-14] 다이포타슘글리시리제이트, [21-15] 카프릴릴글라이콜, [21-16] 페녹시에탄올, [21-17] 클로페네신, [21-18] 소듐하이드록사이드, [21-19] 1,2-헥산다이올, [21-20] 소듐하이알루로네이트, [21-21] 비에이치티"
"A000000256045","[NEW] 토리든 다이브인 저분자 히알루론산 토너 500ml 기획 (+늘어나는 화장솜 60매)","토리든","500.0","500.0","ml","29000.0","19800","396.0","정제수, 부틸렌글라이콜, 다이프로필렌글라이콜, 1,2-헥산다이올, 글리세린, 베타인, 알란토인, 판테놀, 소듐하이알루로네이트크로스폴리머, 소듐하이알루로네이트, 소듐아세틸레이티드하이알루로네이트, 하이드롤라이즈드소듐하이알루로네이트, 하이드롤라이즈드하이알루로닉애씨드(200ppm), 엑토인, 감초추출물, 2,3-부탄다이올, 쇠비름추출물, 트레할로오스, 알지닌, 펜틸렌글라이콜, 말라카이트추출물, 다이소듐이디티에이, 에틸헥실글리세린","","[23-1] 정제수, [23-2] 부틸렌글라이콜, [23-3] 다이프로필렌글라이콜, [23-4] 1,2-헥산다이올, [23-5] 글리세린, [23-6] 베타인, [23-7] 알란토인, [23-8] 판테놀, [23-9] 소듐하이알루로네이트크로스폴리머, [23-10] 소듐하이알루로네이트, [23-11] 소듐아세틸레이티드하이알루로네이트, [23-12] 하이드롤라이즈드소듐하이알루로네이트, [23-13] 하이드롤라이즈드하이알루로닉애씨드(200ppm), [23-14] 엑토인, [23-15] 감초추출물, [23-16] 2,3-부탄다이올, [23-17] 쇠비름추출물, [23-18] 트레할로오스, [23-19] 알지닌, [23-20] 펜틸렌글라이콜, [23-21] 말라카이트추출물, [23-22] 다이소듐이디티에이, [23-23] 에틸헥실글리세린"
"A000000258833","[7월 올영픽] 에스트라 아토베리어365 캡슐토너 300ml 기획 (+수딩크림 30ml+세라-히알 앰플 7ml)","에스트라","300.0","337.0","ml","30000.0","24000","712.2","정제수, 부틸렌글라이콜, 글리세린, 프로필렌글라이콜, 1,2-헥산다이올, 글루코노락톤, 에틸헥실글리세린, 칼슘클로라이드, 만니톨, 셀룰로오스, 셀룰로오스검, 트로메타민, 세틸-피지하이드록시에틸팔미타마이드, 스테아릭애씨드, 젤란검, 소듐시트레이트, 소듐글루코네이트, 벤조익애씨드, 세라마이드엔피, 하이드로제네이티드레시틴, 소듐벤조에이트, 실리카, 콜레스테롤, 스핑고리피드, 소듐하이알루로네이트, 하이드록시프로필메틸셀룰로오스, 토코페롤","","[27-1] 정제수, [27-2] 부틸렌글라이콜, [27-3] 글리세린, [27-4] 프로필렌글라이콜, [27-5] 1,2-헥산다이올, [27-6] 글루코노락톤, [27-7] 에틸헥실글리세린, [27-8] 칼슘클로라이드, [27-9] 만니톨, [27-10] 셀룰로오스, [27-11] 셀룰로오스검, [27-12] 트로메타민, [27-13] 세틸-피지하이드록시에틸팔미타마이드, [27-14] 스테아릭애씨드, [27-15] 젤란검, [27-16] 소듐시트레이트, [27-17] 소듐글루코네이트, [27-18] 벤조익애씨드, [27-19] 세라마이드엔피, [27-20] 하이드로제네이티드레시틴, [27-21] 소듐벤조에이트, [27-22] 실리카, [27-23] 콜레스테롤, [27-24] 스핑고리피드, [27-25] 소듐하이알루로네이트, [27-26] 하이드록시프로필메틸셀룰로오스, [27-27] 토코페롤"
"A000000189181","[수부지토너]브링그린 티트리 시카 수딩 토너 (500ml/250ml)","브링그린","500.0","750.0","ml","15000.0","13500","180.0","정제수, 다이프로필렌글라이콜, 1,2-헥산다이올, 부틸렌글라이콜, 티트리추출물, 티트리잎수, 베타인, 판테놀, 티트리잎추출물, 옥틸도데세스-16, 소듐시트레이트, 시트릭애씨드, 티트리잎오일, 티트리꽃/잎/줄기추출물, 베타인살리실레이트, 병풀추출물, 잔탄검","","[17-1] 정제수, [17-2] 다이프로필렌글라이콜, [17-3] 1,2-헥산다이올, [17-4] 부틸렌글라이콜, [17-5] 티트리추출물, [17-6] 티트리잎수, [17-7] 베타인, [17-8] 판테놀, [17-9] 티트리잎추출물, [17-10] 옥틸도데세스-16, [17-11] 소듐시트레이트, [17-12] 시트릭애씨드, [17-13] 티트리잎오일, [17-14] 티트리꽃/잎/줄기추출물, [17-15] 베타인살리실레이트, [17-16] 병풀추출물, [17-17] 잔탄검"
"A000000237491","[수부지장벽토너] 코스노리 판테놀 베리어 토너 205ml","코스노리","205.0","205.0","ml","20000.0","15000","731.7","정제수, 부틸렌글라이콜, 판테놀, 다이프로필렌글라이콜, 글리세레스-26, 나이아신아마이드, 1,2-헥산다이올, 카카두플럼추출물, 병풀추출물, 아시아티코사이드, 마데카소사이드, 세라마이드엔피, 얼룩파인애플추출물, 파파야열매추출물, 귀리가루추출물, 락토바실러스/콩발효추출물, 락토바실러스/쌀발효물, 락토바실러스/인삼뿌리발효여과물, 효모/율무씨발효여과물, 효모/감자추출물발효여과물, 소듐하이알루로네이트, 하이드롤라이즈드하이알루로닉애씨드, 동백나무씨오일, 아시아틱애씨드, 마데카식애씨드, 리놀레익애씨드, 락토바이오닉애씨드, 소듐하이알루로네이트크로스폴리머, 소듐아세틸레이티드하이알루로네이트, 하이드로제네이티드레시틴, 프로판다이올, 소듐시트레이트, 베타인, 글리세린, 시트릭애씨드, 소듐폴리아크릴로일다이메틸타우레이트, 하이드록시프로필트라이모늄하이알루로네이트, 아데노신, 펜틸렌글라이콜, 카프릴릭/카프릭트라이글리세라이드, 에틸헥실글리세린","","[41-1] 정제수, [41-2] 부틸렌글라이콜, [41-3] 판테놀, [41-4] 다이프로필렌글라이콜, [41-5] 글리세레스-26, [41-6] 나이아신아마이드, [41-7] 1,2-헥산다이올, [41-8] 카카두플럼추출물, [41-9] 병풀추출물, [41-10] 아시아티코사이드, [41-11] 마데카소사이드, [41-12] 세라마이드엔피, [41-13] 얼룩파인애플추출물, [41-14] 파파야열매추출물, [41-15] 귀리가루추출물, [41-16] 락토바실러스/콩발효추출물, [41-17] 락토바실러스/쌀발효물, [41-18] 락토바실러스/인삼뿌리발효여과물, [41-19] 효모/율무씨발효여과물, [41-20] 효모/감자추출물발효여과물, [41-21] 소듐하이알루로네이트, [41-22] 하이드롤라이즈드하이알루로닉애씨드, [41-23] 동백나무씨오일, [41-24] 아시아틱애씨드, [41-25] 마데카식애씨드, [41-26] 리놀레익애씨드, [41-27] 락토바이오닉애씨드, [41-28] 소듐하이알루로네이트크로스폴리머, [41-29] 소듐아세틸레이티드하이알루로네이트, [41-30] 하이드로제네이티드레시틴, [41-31] 프로판다이올, [41-32] 소듐시트레이트, [41-33] 베타인, [41-34] 글리세린, [41-35] 시트릭애씨드, [41-36] 소듐폴리아크릴로일다이메틸타우레이트, [41-37] 하이드록시프로필트라이모늄하이알루로네이트, [41-38] 아데노신, [41-39] 펜틸렌글라이콜, [41-40] 카프릴릭/카프릭트라이글리세라이드, [41-41] 에틸헥실글리세린"
"A000000146589","[수분진정] 아비브 어성초 카밍 토너 스킨부스터 200ml","아비브","200.0","200.0","ml","23000.0","16100","805.0","정제수, 글리세린, 부틸렌글라이콜, 펜틸렌글라이콜, 베타인, 1,2-헥산다이올, 자일리톨, 약모밀추출물(3,500 ppm), 판테놀, 에틸헥실글리세린, 소듐하이알루로네이트, 비피다발효용해물, 돌콩추출물, 다이소듐이디티에이, 하이드롤라이즈드하이알루로닉애씨드, 잔탄검, 옥탄다이올, 병풀추출물, 토코페롤, 인동덩굴꽃추출물, 황금추출물, 바이오사카라이드검-4, 파스향나무잎추출물","","[24-1] 정제수, [24-2] 글리세린, [24-3] 부틸렌글라이콜, [24-4] 펜틸렌글라이콜, [24-5] 베타인, [24-6] 1,2-헥산다이올, [24-7] 자일리톨, [24-8] 약모밀추출물(3, [24-9] 500 ppm), [24-10] 판테놀, [24-11] 에틸헥실글리세린, [24-12] 소듐하이알루로네이트, [24-13] 비피다발효용해물, [24-14] 돌콩추출물, [24-15] 다이소듐이디티에이, [24-16] 하이드롤라이즈드하이알루로닉애씨드, [24-17] 잔탄검, [24-18] 옥탄다이올, [24-19] 병풀추출물, [24-20] 토코페롤, [24-21] 인동덩굴꽃추출물, [24-22] 황금추출물, [24-23] 바이오사카라이드검-4, [24-24] 파스향나무잎추출물"
"A000000255246","[미스트형/1등토너] 라운드랩 1025 독도 토너 300ml 1+1 기획 (+늘어나는 스킨패드 30매)","라운드랩","300.0","600.0","ml","29800.0","25900","431.7","정제수, 부틸렌글라이콜, 글리세린, 펜틸렌글라이콜, 프로판다이올, 아이리쉬모스추출물, 사탕수수추출물, 해수, 1,2-헥산다이올, 프로테아제, 베타인, 판테놀, 에틸헥실글리세린, 알란토인, 잔탄검, 다이소듐이디티에이","","[16-1] 정제수, [16-2] 부틸렌글라이콜, [16-3] 글리세린, [16-4] 펜틸렌글라이콜, [16-5] 프로판다이올, [16-6] 아이리쉬모스추출물, [16-7] 사탕수수추출물, [16-8] 해수, [16-9] 1,2-헥산다이올, [16-10] 프로테아제, [16-11] 베타인, [16-12] 판테놀, [16-13] 에틸헥실글리세린, [16-14] 알란토인, [16-15] 잔탄검, [16-16] 다이소듐이디티에이"
"A000000004434","바이오더마 하이드라비오 토너 250ml","바이오더마","250.0","250.0","ml","29500.0","19200","768.0","정제수, 글리세린, 폴리솔베이트20, 다이소듐이디티에이, 세트리모늄브로마이드, 나이아신아마이드, 자일리톨, 알란토인, 프룩토올리고사카라이드, 만니톨, 헥실데칸올, 소듐하이드록사이드, 시트릭애씨드, 람노오스, 사과씨추출물, 유채스테롤, 토코페롤, 향료료","","[18-1] 정제수, [18-2] 글리세린, [18-3] 폴리솔베이트20, [18-4] 다이소듐이디티에이, [18-5] 세트리모늄브로마이드, [18-6] 나이아신아마이드, [18-7] 자일리톨, [18-8] 알란토인, [18-9] 프룩토올리고사카라이드, [18-10] 만니톨, [18-11] 헥실데칸올, [18-12] 소듐하이드록사이드, [18-13] 시트릭애씨드, [18-14] 람노오스, [18-15] 사과씨추출물, [18-16] 유채스테롤, [18-17] 토코페롤, [18-18] 향료료"
"A000000137180","[1등토너] 라운드랩 1025 독도 토너 500ml 기획 (+100ml)","라운드랩","500.0","600.0","ml","30000.0","27000","450.0","정제수, 부틸렌글라이콜, 글리세린, 펜틸렌글라이콜, 프로판다이올, 아이리쉬모스추출물, 사탕수수추출물, 해수, 1,2-헥산다이올, 프로테아제, 베타인, 판테놀, 에틸헥실글리세린, 알란토인, 잔탄검, 다이소듐이디티에이","","[16-1] 정제수, [16-2] 부틸렌글라이콜, [16-3] 글리세린, [16-4] 펜틸렌글라이콜, [16-5] 프로판다이올, [16-6] 아이리쉬모스추출물, [16-7] 사탕수수추출물, [16-8] 해수, [16-9] 1,2-헥산다이올, [16-10] 프로테아제, [16-11] 베타인, [16-12] 판테놀, [16-13] 에틸헥실글리세린, [16-14] 알란토인, [16-15] 잔탄검, [16-16] 다이소듐이디티에이"
"A000000190395","[쿨링진정]넘버즈인 1번 진정 맑게담은 청초토너 300ml 리필기획(+300ml 증정)","넘버즈인","300.0","600.0","ml","40000.0","28000","466.7","정제수, 1,2-헥산다이올, 다이프로필렌글라이콜, 프로판다이올, 부틸렌글라이콜, 글리세린, 감초뿌리추출물, 약모밀추출물, 카보머, 병풀추출물, 하이드록시에틸셀룰로오스, 알지닌, 알란토인, 다이소듐이디티에이, 하수오전초추출물, 베타인, 히아신스전초추출물, 판테놀, 알바수련꽃추출물","","[19-1] 정제수, [19-2] 1,2-헥산다이올, [19-3] 다이프로필렌글라이콜, [19-4] 프로판다이올, [19-5] 부틸렌글라이콜, [19-6] 글리세린, [19-7] 감초뿌리추출물, [19-8] 약모밀추출물, [19-9] 카보머, [19-10] 병풀추출물, [19-11] 하이드록시에틸셀룰로오스, [19-12] 알지닌, [19-13] 알란토인, [19-14] 다이소듐이디티에이, [19-15] 하수오전초추출물, [19-16] 베타인, [19-17] 히아신스전초추출물, [19-18] 판테놀, [19-19] 알바수련꽃추출물"
