ingredient_code,standard_name_kr,standard_name_en,alias_kr,alias_en
성분사전 표준화명칭목록,,,,
2026.06.30 기준,,,,
1,가공소금,,,
2,가지열매추출물,Solanum Melongena (Eggplant) Fruit Extract,가지추출물,Solanum Melongena (Eggplant) Fruit Extract
3,구멍쇠미역추출물,Agarum Cribrosum Extract,구멍쇠미역추출물,Agarum Cribosum Extract
4,루핀아미노산,Lupine Amino Acids,,
5,류신,Leucine,,
6,류코노스톡/무발효여과물,Leuconostoc/Radish Root Ferment Filtrate,,
7,백혈구추출물,Leukocyte Extract,류코사이트추출물,Leukocyte Extract
8,리나칸투스 콤무니스추출물,Rhinacanthus Communis Extract,,
9,리날룰,Linalool,,
10,리날릴아세테이트,Linalyl Acetate,,
11,리놀레닉애씨드,Linolenic Acid,,
12,리놀레아마이드엠이에이,Linoleamide MEA,,
13,구상나무잎가루,Abies Koreana Leaf Powder,,
14,리놀레아미도프로필다이메틸아민다이머다이리놀리에이트,Linoleamidopropyl Dimethylamine Dimer Dilinoleate,리놀레아미도프로필디메칠아민다이머디리놀리에이트,Linoleamidopropyl Dimethylamine Dimer Dilinoleate
15,리놀레아미도프로필에틸다이모늄에토설페이트,Linoleamidopropyl Ethyldimonium Ethosulfate,리놀레아미도프로필에칠디모늄에토설페이트,Linoleamidopropyl Ethyldimonium Ethosulfate
16,리놀레아미도프로필피지-다이모늄클로라이드포스페이트,Linoleamidopropyl PG-Dimonium Chloride Phosphate,리놀레아미도프로필피지-디모늄클로라이드포스페이트,Linoleamidopropyl PG-Dimonium Chloride Phosphate
17,리놀레아미도프로필피지-다이모늄클로라이드포스페이트다이메티콘,Linoleamidopropyl PG-Dimonium Chloride PhosphateDimethicone,리놀레아미도프로필피지-디모늄클로라이드포스페이트디메치콘,Linoleamidopropyl PG-Dimonium Chloride PhosphateDimethicone
18,리놀레익애씨드,Linoleic Acid,,
19,리마콩씨추출물,Phaseolus Lunatus (Green Bean) Seed Extract,리마콩추출물,Phaseolus Lunatus (Green Bean) Seed Extract
20,리모넨,Limonene,,
21,리모니아 아키디시마목부가루,Limonia Acidissima Wood Powder,리모니아 아시디씨마나무가루,Limonia Acidissima Wood Powder
22,리보플라빈,Riboflavin,,
23,구상나무잎추출물,Abies Koreana Leaf Extract,,
24,리씨열매오일,Litsea Cubeba Fruit Oil,,
25,리치과피추출물,Litchi Chinensis Pericarp Extract,,
26,리치씨추출물,Litchi Chinensis Seed Extract,,
27,리치추출물,Litchi Chinensis Fruit Extract,리치열매추출물|여지열매추출물,Litchi Chinensis Fruit Extract
28,리토탐니온 칼카룸가루,Lithothamnion Calcareum Powder,리토탐니움 칼카룸가루,Lithothamnium Calcarum Powder
29,리튬마그네슘소듐실리케이트,Lithium Magnesium Sodium Silicate,,
30,리튬스테아레이트,Lithium Stearate,,
31,글루티너스리트세아나무껍질추출물,Litsea Glutinosa Bark Extract,리트세아 글루티노사껍질추출물,
32,리파아제,Lipase,,
33,리피아 시도이데스잎오일,Lippia Sidoides Leaf Oil,,
34,구아검,Cyamopsis Tetragonoloba (Guar) Gum,,
35,유럽피나무꽃추출물,Tilia Europaea Flower Extract,린덴꽃추출물,Tilia Europaea Flower Extract
