"product_name","brand_name","ml_표시용량","ml_추정총용량","용량_단위","price_regular","price_sale","price_per_10ml","ingredient","goods_no","공통_ingredient","차별화_ingredient"
"[화잘먹/단독기획] 폴라초이스 바하 리퀴드 엑스폴리언트 118ml 기획 (+바하 리퀴드 30ml)","폴라초이스","118.0","148.0","ml","39000.0","29640","2002.7","정제수, 프로필렌글라이콜, 나이아신아마이드, 펜틸렌글라이콜, 글리세린, 살리실릭애씨드(0.5%), 흰버드나무껍질추출물(0.5%), 피이지/피피지-17/6코폴리머, 폴리솔베이트20, 비스-피이지-18메틸에터다이메틸실레인, 소듐파이테이트, 10-하이드록시데카노익애씨드, 알란토인, 다이포타슘글리시리제이트, 카프릴릴글라이콜, 페녹시에탄올, 클로페네신, 소듐하이드록사이드, 1,2-헥산다이올, 소듐하이알루로네이트, 비에이치티","A000000245794","정제수","[21-2] 프로필렌글라이콜, [21-3] 나이아신아마이드, [21-4] 펜틸렌글라이콜, [21-5] 글리세린, [21-6] 살리실릭애씨드(0.5%), [21-7] 흰버드나무껍질추출물(0.5%), [21-8] 피이지/피피지-17/6코폴리머, [21-9] 폴리솔베이트20, [21-10] 비스-피이지-18메틸에터다이메틸실레인, [21-11] 소듐파이테이트, [21-12] 10-하이드록시데카노익애씨드, [21-13] 알란토인, [21-14] 다이포타슘글리시리제이트, [21-15] 카프릴릴글라이콜, [21-16] 페녹시에탄올, [21-17] 클로페네신, [21-18] 소듐하이드록사이드, [21-19] 1,2-헥산다이올, [21-20] 소듐하이알루로네이트, [21-21] 비에이치티"
"[NEW] 토리든 다이브인 저분자 히알루론산 토너 500ml 기획 (+늘어나는 화장솜 60매)","토리든","500.0","500.0","ml","29000.0","19800","396.0","정제수, 부틸렌글라이콜, 다이프로필렌글라이콜, 1,2-헥산다이올, 글리세린, 베타인, 알란토인, 판테놀, 소듐하이알루로네이트크로스폴리머, 소듐하이알루로네이트, 소듐아세틸레이티드하이알루로네이트, 하이드롤라이즈드소듐하이알루로네이트, 하이드롤라이즈드하이알루로닉애씨드(200ppm), 엑토인, 감초추출물, 2,3-부탄다이올, 쇠비름추출물, 트레할로오스, 알지닌, 펜틸렌글라이콜, 말라카이트추출물, 다이소듐이디티에이, 에틸헥실글리세린","A000000256045","정제수","[23-2] 부틸렌글라이콜, [23-3] 다이프로필렌글라이콜, [23-4] 1,2-헥산다이올, [23-5] 글리세린, [23-6] 베타인, [23-7] 알란토인, [23-8] 판테놀, [23-9] 소듐하이알루로네이트크로스폴리머, [23-10] 소듐하이알루로네이트, [23-11] 소듐아세틸레이티드하이알루로네이트, [23-12] 하이드롤라이즈드소듐하이알루로네이트, [23-13] 하이드롤라이즈드하이알루로닉애씨드(200ppm), [23-14] 엑토인, [23-15] 감초추출물, [23-16] 2,3-부탄다이올, [23-17] 쇠비름추출물, [23-18] 트레할로오스, [23-19] 알지닌, [23-20] 펜틸렌글라이콜, [23-21] 말라카이트추출물, [23-22] 다이소듐이디티에이, [23-23] 에틸헥실글리세린"
"[수부지토너]브링그린 티트리 시카 수딩 토너 (500ml/250ml)","브링그린","500.0","750.0","ml","15000.0","11900","158.7","정제수, 다이프로필렌글라이콜, 1,2-헥산다이올, 부틸렌글라이콜, 티트리추출물, 티트리잎수, 베타인, 판테놀, 티트리잎추출물, 옥틸도데세스-16, 소듐시트레이트, 시트릭애씨드, 티트리잎오일, 티트리꽃/잎/줄기추출물, 베타인살리실레이트, 병풀추출물, 잔탄검","A000000189181","정제수","[17-2] 다이프로필렌글라이콜, [17-3] 1,2-헥산다이올, [17-4] 부틸렌글라이콜, [17-5] 티트리추출물, [17-6] 티트리잎수, [17-7] 베타인, [17-8] 판테놀, [17-9] 티트리잎추출물, [17-10] 옥틸도데세스-16, [17-11] 소듐시트레이트, [17-12] 시트릭애씨드, [17-13] 티트리잎오일, [17-14] 티트리꽃/잎/줄기추출물, [17-15] 베타인살리실레이트, [17-16] 병풀추출물, [17-17] 잔탄검"
"[7월 올영픽] 에스트라 아토베리어365 캡슐토너 300ml 기획 (+수딩크림 30ml+세라-히알 앰플 7ml)","에스트라","300.0","337.0","ml","30000.0","24000","712.2","정제수, 부틸렌글라이콜, 글리세린, 프로필렌글라이콜, 1,2-헥산다이올, 글루코노락톤, 에틸헥실글리세린, 칼슘클로라이드, 만니톨, 셀룰로오스, 셀룰로오스검, 트로메타민, 세틸-피지하이드록시에틸팔미타마이드, 스테아릭애씨드, 젤란검, 소듐시트레이트, 소듐글루코네이트, 벤조익애씨드, 세라마이드엔피, 하이드로제네이티드레시틴, 소듐벤조에이트, 실리카, 콜레스테롤, 스핑고리피드, 소듐하이알루로네이트, 하이드록시프로필메틸셀룰로오스, 토코페롤","A000000258833","정제수","[27-2] 부틸렌글라이콜, [27-3] 글리세린, [27-4] 프로필렌글라이콜, [27-5] 1,2-헥산다이올, [27-6] 글루코노락톤, [27-7] 에틸헥실글리세린, [27-8] 칼슘클로라이드, [27-9] 만니톨, [27-10] 셀룰로오스, [27-11] 셀룰로오스검, [27-12] 트로메타민, [27-13] 세틸-피지하이드록시에틸팔미타마이드, [27-14] 스테아릭애씨드, [27-15] 젤란검, [27-16] 소듐시트레이트, [27-17] 소듐글루코네이트, [27-18] 벤조익애씨드, [27-19] 세라마이드엔피, [27-20] 하이드로제네이티드레시틴, [27-21] 소듐벤조에이트, [27-22] 실리카, [27-23] 콜레스테롤, [27-24] 스핑고리피드, [27-25] 소듐하이알루로네이트, [27-26] 하이드록시프로필메틸셀룰로오스, [27-27] 토코페롤"
"[한정기획] 아누아 어성초 77 히알루론산 수분 진정 토너 350ml 더블기획 (+어성초 크림 20ml)","아누아","350.0","370.0","ml","49000.0","27500","743.2","[토너] 약모밀꽃/잎/줄기수(77%), 정제수, 1,2-헥산다이올, 글리세린, 글리세레스-26, 베타인, 펜틸렌글라이콜, 소듐시트레이트, 아이소펜틸다이올, 에틸헥실글리세린, 다이포타슘글리시리제이트, 시트릭애씨드, 아크릴레이트/C10-30알킬아크릴레이트크로스폴리머, 트로메타민, 판테놀, 소듐파이테이트, 알란토인, 소듐하이알루로네이트(1.1ppm), 약모밀소포(750ppb), 하이드롤라이즈드소듐하이알루로네이트(100.1ppb), 징크피씨에이, 하이드록시프로필트라이모늄하이알루로네이트(100ppb), 락토바실러스발효물, 소듐아세틸레이티드하이알루로네이트(10ppb), 하이드롤라이즈드하이알루로닉애씨드(10ppb), 아이소쿼시트린, 쿼세틴, 하이알루로닉애씨드(2.5ppb), 소듐하이알루로네이트크로스폴리머(1ppb), 포타슘하이알루로네이트(0.2ppb)
[크림] 약모밀꽃/잎/줄기수(77%), 나이아신아마이드(1,000 ppm), 1,2-헥산다이올, 판테놀, 글리세린, 다이프로필렌글라이콜, 부틸렌글라이콜, 소듐시트레이트, 징크피씨에이(10 ppm), 프로판다이올, 트레할로오스, 정제수, 베타인, 잔탄검, 스핑고모나스발효추출물, 에틸헥실글리세린, 시트릭애씨드, 하이드록시프로필사이클로덱스트린, 아데노신, 다이소듐이디티에이, 다이포타슘글리시리제이트, 글리세릴아크릴레이트/아크릴릭애씨드코폴리머, 글루코노락톤, 도코사헥사에노익애씨드, 토코페롤, 알란토인, 피리독신에이치씨엘, 카프릴로일살리실릭애씨드, 약모밀소포, 아이소쿼시트린, 쿼세틴","A000000255328","정제수","[61-1] 약모밀꽃/잎/줄기수(77%), [61-3] 1,2-헥산다이올, [61-4] 글리세린, [61-5] 글리세레스-26, [61-6] 베타인, [61-7] 펜틸렌글라이콜, [61-8] 소듐시트레이트, [61-9] 아이소펜틸다이올, [61-10] 에틸헥실글리세린, [61-11] 다이포타슘글리시리제이트, [61-12] 시트릭애씨드, [61-13] 아크릴레이트/C10-30알킬아크릴레이트크로스폴리머, [61-14] 트로메타민, [61-15] 판테놀, [61-16] 소듐파이테이트, [61-17] 알란토인, [61-18] 소듐하이알루로네이트(1.1ppm), [61-19] 약모밀소포(750ppb), [61-20] 하이드롤라이즈드소듐하이알루로네이트(100.1ppb), [61-21] 징크피씨에이, [61-22] 하이드록시프로필트라이모늄하이알루로네이트(100ppb), [61-23] 락토바실러스발효물, [61-24] 소듐아세틸레이티드하이알루로네이트(10ppb), [61-25] 하이드롤라이즈드하이알루로닉애씨드(10ppb), [61-26] 아이소쿼시트린, [61-27] 쿼세틴, [61-28] 하이알루로닉애씨드(2.5ppb), [61-29] 소듐하이알루로네이트크로스폴리머(1ppb), [61-30] 약모밀꽃/잎/줄기수(77%), [61-31] 나이아신아마이드(1, [61-32] 000 ppm), [61-33] 1,2-헥산다이올, [61-34] 판테놀, [61-35] 글리세린, [61-36] 다이프로필렌글라이콜, [61-37] 부틸렌글라이콜, [61-38] 소듐시트레이트, [61-39] 징크피씨에이(10 ppm), [61-40] 프로판다이올, [61-41] 트레할로오스, [61-43] 베타인, [61-44] 잔탄검, [61-45] 스핑고모나스발효추출물, [61-46] 에틸헥실글리세린, [61-47] 시트릭애씨드, [61-48] 하이드록시프로필사이클로덱스트린, [61-49] 아데노신, [61-50] 다이소듐이디티에이, [61-51] 다이포타슘글리시리제이트, [61-52] 글리세릴아크릴레이트/아크릴릭애씨드코폴리머, [61-53] 글루코노락톤, [61-54] 도코사헥사에노익애씨드, [61-55] 토코페롤, [61-56] 알란토인, [61-57] 피리독신에이치씨엘, [61-58] 카프릴로일살리실릭애씨드, [61-59] 약모밀소포, [61-60] 아이소쿼시트린, [61-61] 쿼세틴"
"[쿨링진정]넘버즈인 1번 진정 맑게담은 청초토너 300ml 리필기획(+300ml 증정)","넘버즈인","300.0","600.0","ml","40000.0","28000","466.7","정제수, 1,2-헥산다이올, 다이프로필렌글라이콜, 프로판다이올, 부틸렌글라이콜, 글리세린, 감초뿌리추출물, 약모밀추출물, 카보머, 병풀추출물, 하이드록시에틸셀룰로오스, 알지닌, 알란토인, 다이소듐이디티에이, 하수오전초추출물, 베타인, 히아신스전초추출물, 판테놀, 알바수련꽃추출물","A000000190395","정제수","[19-2] 1,2-헥산다이올, [19-3] 다이프로필렌글라이콜, [19-4] 프로판다이올, [19-5] 부틸렌글라이콜, [19-6] 글리세린, [19-7] 감초뿌리추출물, [19-8] 약모밀추출물, [19-9] 카보머, [19-10] 병풀추출물, [19-11] 하이드록시에틸셀룰로오스, [19-12] 알지닌, [19-13] 알란토인, [19-14] 다이소듐이디티에이, [19-15] 하수오전초추출물, [19-16] 베타인, [19-17] 히아신스전초추출물, [19-18] 판테놀, [19-19] 알바수련꽃추출물"
"[미스트형/1등토너] 라운드랩 1025 독도 토너 300ml 1+1 기획 (+늘어나는 스킨패드 30매)","라운드랩","300.0","600.0","ml","29800.0","25900","431.7","정제수, 부틸렌글라이콜, 글리세린, 펜틸렌글라이콜, 프로판다이올, 아이리쉬모스추출물, 사탕수수추출물, 해수, 1,2-헥산다이올, 프로테아제, 베타인, 판테놀, 에틸헥실글리세린, 알란토인, 잔탄검, 다이소듐이디티에이","A000000255246","정제수","[16-2] 부틸렌글라이콜, [16-3] 글리세린, [16-4] 펜틸렌글라이콜, [16-5] 프로판다이올, [16-6] 아이리쉬모스추출물, [16-7] 사탕수수추출물, [16-8] 해수, [16-9] 1,2-헥산다이올, [16-10] 프로테아제, [16-11] 베타인, [16-12] 판테놀, [16-13] 에틸헥실글리세린, [16-14] 알란토인, [16-15] 잔탄검, [16-16] 다이소듐이디티에이"
"[쿨링진정/대용량]블랑네이처 9배 고농축 어성초 토너 300ml","블랑네이처","300.0","300.0","ml","38000.0","23900","796.7","정제수, 약모밀추출물(100,000 ppm), 부틸렌글라이콜, 1,2-헥산다이올, 나이아신아마이드, 글리세린, 판테놀, 카보머, 알지닌, 글루코노락톤, 다이포타슘글리시리제이트, 아데노신, 다이소듐이디티에이, 하이알루로닉애씨드, 녹차추출물, 병풀추출물, 파파야열매추출물, 매실추출물, 사과추출물, 포도추출물, 데실글루코사이드, 시트릭애씨드, 티트리잎추출물, 살리실릭애씨드, 에틸헥실글리세린, 병풀잎추출물, 오카무라큰실말추출물, 흰버드나무껍질추출물, 징크피씨에이, 4-터피네올, 커피콩추출물, 마데카소사이드, 마데카식애씨드, 아시아티코사이드, 아시아틱애씨드, 베르가모트잎추출물, 소나무잎추출물, 소듐디엔에이","A000000255290","정제수","[39-2] 약모밀추출물(100, [39-3] 000 ppm), [39-4] 부틸렌글라이콜, [39-5] 1,2-헥산다이올, [39-6] 나이아신아마이드, [39-7] 글리세린, [39-8] 판테놀, [39-9] 카보머, [39-10] 알지닌, [39-11] 글루코노락톤, [39-12] 다이포타슘글리시리제이트, [39-13] 아데노신, [39-14] 다이소듐이디티에이, [39-15] 하이알루로닉애씨드, [39-16] 녹차추출물, [39-17] 병풀추출물, [39-18] 파파야열매추출물, [39-19] 매실추출물, [39-20] 사과추출물, [39-21] 포도추출물, [39-22] 데실글루코사이드, [39-23] 시트릭애씨드, [39-24] 티트리잎추출물, [39-25] 살리실릭애씨드, [39-26] 에틸헥실글리세린, [39-27] 병풀잎추출물, [39-28] 오카무라큰실말추출물, [39-29] 흰버드나무껍질추출물, [39-30] 징크피씨에이, [39-31] 4-터피네올, [39-32] 커피콩추출물, [39-33] 마데카소사이드, [39-34] 마데카식애씨드, [39-35] 아시아티코사이드, [39-36] 아시아틱애씨드, [39-37] 베르가모트잎추출물, [39-38] 소나무잎추출물, [39-39] 소듐디엔에이"
"바이오더마 하이드라비오 토너 250ml","바이오더마","250.0","250.0","ml","29500.0","19200","768.0","정제수, 글리세린, 폴리솔베이트20, 다이소듐이디티에이, 세트리모늄브로마이드, 나이아신아마이드, 자일리톨, 알란토인, 프룩토올리고사카라이드, 만니톨, 헥실데칸올, 소듐하이드록사이드, 시트릭애씨드, 람노오스, 사과씨추출물, 유채스테롤, 토코페롤, 향료료","A000000004434","정제수","[18-2] 글리세린, [18-3] 폴리솔베이트20, [18-4] 다이소듐이디티에이, [18-5] 세트리모늄브로마이드, [18-6] 나이아신아마이드, [18-7] 자일리톨, [18-8] 알란토인, [18-9] 프룩토올리고사카라이드, [18-10] 만니톨, [18-11] 헥실데칸올, [18-12] 소듐하이드록사이드, [18-13] 시트릭애씨드, [18-14] 람노오스, [18-15] 사과씨추출물, [18-16] 유채스테롤, [18-17] 토코페롤, [18-18] 향료료"
"[속촉촉 진정토너] 에스네이처 아쿠아 오아시스 토너 300ml 기획 (+젤크림 30ml)","에스네이처","300.0","330.0","ml","25000.0","18900","572.7","*토너
정제수, 다이프로필렌글라이콜, 부틸렌글라이콜, 글리세린, 1,2-헥산다이올, 베타인, 판테놀, 알란토인, 파파야열매추출물, 글루코노락톤, 자일리틸글루코사이드, 안하이드로자일리톨, 자일리톨, 소듐하이알루로네이트, 글루코오스, 파파인, 하이드록시프로필트라이모늄하이알루로네이트, 소듐아세틸레이티드하이알루로네이트, 하이드롤라이즈드하이알루로닉애씨드, 하이알루로닉애씨드, 하이드롤라이즈드소듐하이알루로네이트, 소듐하이알루로네이트크로스폴리머, 포타슘하이알루로네이트, 글리세릴아크릴레이트/아크릴릭애씨드코폴리머, 피브이엠/엠에이코폴리머

*젤크림
정제수, 글리세린, 부틸렌글라이콜, 1,2-헥산다이올, 블루아가베잎추출물, 알란토인, 소듐하이알루로네이트, 하이드록시프로필트라이모늄하이알루로네이트, 하이드롤라이즈드하이알루로닉애씨드, 소듐아세틸레이티드하이알루로네이트, 하이알루로닉애씨드, 하이드롤라이즈드소듐하이알루로네이트, 소듐하이알루로네이트크로스폴리머, 포타슘하이알루로네이트, 알지닌, 메틸트라이메티콘, 에틸헥실글리세린, 암모늄아크릴로일다이메틸타우레이트/브이피코폴리머, 하이드록시에틸아크릴레이트/소듐아크릴로일다이메틸타우레이트코폴리머, 아크릴레이트/C10-30알킬아크릴레이트크로스폴리머, 하이드로제네이티드폴리(C6-14올레핀), 메틸다이아이소프로필프로피온아마이드, 다이메티콘/비닐다이메티콘크로스폴리머, 솔비탄아이소스테아레이트, 다이소듐이디티에이","A000000213171","정제수","[49-2] 다이프로필렌글라이콜, [49-3] 부틸렌글라이콜, [49-4] 글리세린, [49-5] 1,2-헥산다이올, [49-6] 베타인, [49-7] 판테놀, [49-8] 알란토인, [49-9] 파파야열매추출물, [49-10] 글루코노락톤, [49-11] 자일리틸글루코사이드, [49-12] 안하이드로자일리톨, [49-13] 자일리톨, [49-14] 소듐하이알루로네이트, [49-15] 글루코오스, [49-16] 파파인, [49-17] 하이드록시프로필트라이모늄하이알루로네이트, [49-18] 소듐아세틸레이티드하이알루로네이트, [49-19] 하이드롤라이즈드하이알루로닉애씨드, [49-20] 하이알루로닉애씨드, [49-21] 하이드롤라이즈드소듐하이알루로네이트, [49-22] 소듐하이알루로네이트크로스폴리머, [49-23] 포타슘하이알루로네이트, [49-24] 글리세릴아크릴레이트/아크릴릭애씨드코폴리머, [49-26] 글리세린, [49-27] 부틸렌글라이콜, [49-28] 1,2-헥산다이올, [49-29] 블루아가베잎추출물, [49-30] 알란토인, [49-31] 소듐하이알루로네이트, [49-32] 하이드록시프로필트라이모늄하이알루로네이트, [49-33] 하이드롤라이즈드하이알루로닉애씨드, [49-34] 소듐아세틸레이티드하이알루로네이트, [49-35] 하이알루로닉애씨드, [49-36] 하이드롤라이즈드소듐하이알루로네이트, [49-37] 소듐하이알루로네이트크로스폴리머, [49-38] 포타슘하이알루로네이트, [49-39] 알지닌, [49-40] 메틸트라이메티콘, [49-41] 에틸헥실글리세린, [49-42] 암모늄아크릴로일다이메틸타우레이트/브이피코폴리머, [49-43] 하이드록시에틸아크릴레이트/소듐아크릴로일다이메틸타우레이트코폴리머, [49-44] 아크릴레이트/C10-30알킬아크릴레이트크로스폴리머, [49-45] 하이드로제네이티드폴리(C6-14올레핀), [49-46] 메틸다이아이소프로필프로피온아마이드, [49-47] 다이메티콘/비닐다이메티콘크로스폴리머, [49-48] 솔비탄아이소스테아레이트, [49-49] 다이소듐이디티에이"
